ticker,company,website,sector,1y_target_est,52_week_high,52_week_low,ask,beta_5_monthly,bid,eps,earning_date,ex_dividend_range,forward_dividend,yield,market_cap,pe_ratio,quote_price,prediction
DLF.NS,DLF Limited,https://www.dlf.in,Real Estate,925.26086,929.0,601.2,829.75,0.411,830.5,17.67,2025-05-19,2024-07-31,5.0,0.61,2056116371456,47.009056,830.65,Strong Buy
GODREJPROP.NS,Godrej Properties Limited,https://www.godrejproperties.com,Real Estate,2760.5,3402.7,1900.0,2350.7,0.503,2349.8,49.01,2025-05-02,2015-07-27,,,706278785024,47.84738,2345.0,Buy
OBEROIRLTY.NS,Oberoi Realty Limited,https://www.oberoirealty.com,Real Estate,1893.6666,2343.65,1451.95,1814.6,0.287,1811.6,61.23,2025-04-28,2025-05-05,12.0,0.67,659064946688,29.603136,1812.6,Buy
LODHA.NS,Macrotech Developers Limited,https://www.lodhagroup.in,Real Estate,1447.1666,1649.95,1035.15,1470.9,0.306,1471.1,27.63,2025-04-24,2024-08-16,2.25,0.15,1468478390272,53.26457,1471.7,Buy
LT.NS,Larsen & Toubro Limited,https://www.larsentoubro.com,Industrials,3979.5151,3963.5,2965.3,3646.8,0.461,3647.9,109.28,2025-05-08,2025-06-03,34.0,0.93,5021147070464,33.40959,3651.0,Buy
HAL.NS,Hindustan Aeronautics Limited,https://hal-india.co.in,Industrials,5585.4443,5674.75,3046.05,5027.5,0.603,5028.6,125.27,2025-05-14,2025-02-18,38.0,0.75,3361998635008,40.13012,5027.1,Buy
TCS.NS,Tata Consultancy Services Limited,https://www.tcs.com,Technology,3827.6223,4592.25,3056.05,3364.9,0.398,3365.1,134.17,2025-04-10,2025-06-04,60.0,1.78,12209909399552,25.079376,3364.9,Buy
INFY.NS,Infosys Limited,https://www.infosys.com,Technology,1639.5814,2006.45,1307.0,1550.2,0.533,1550.0,65.13,2025-04-17,2025-05-30,63.0,4.05,6424482545664,23.800093,1550.1,Buy
HCLTECH.NS,HCL Technologies Limited,https://www.hcltech.com,Technology,1662.909,2012.2,1302.75,1627.5,0.384,1627.4,64.15,2025-04-22,2025-04-28,72.0,4.41,4408750899200,25.370226,1627.5,Hold
WIPRO.NS,Wipro Limited,https://www.wipro.com,Technology,247.65115,324.6,228.0,247.82,0.736,247.81,12.52,2025-04-16,2025-01-28,6.0,2.42,2594816131072,19.796326,247.85,
TECHM.NS,Tech Mahindra Limited,https://www.techmahindra.com,Technology,1538.0476,1807.7,1209.4,1557.4,0.478,1557.2,47.98,2025-04-24,2025-07-03,45.0,2.88,1377891778560,32.453106,1557.1,Buy
LTIM.NS,LTIMindtree Limited,https://www.ltimindtree.com,Technology,4896.0513,6767.95,3802.0,5170.5,0.561,5167.5,154.93,2025-04-23,2025-05-23,65.0,1.25,1531731378176,33.36991,5170.0,
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,https://www.adaniports.com,Industrials,1622.25,1604.95,995.65,1460.5,0.374,1459.1,51.42,2025-08-05,2025-06-12,7.0,0.48,3157476507648,28.426682,1461.7,Strong Buy
GRASIM.NS,Grasim Industries Limited,https://www.grasim.com,Basic Materials,3074.1,2877.75,2276.95,2553.4,0.233,2553.8,55.43,2025-05-22,2024-08-06,10.0,0.39,1733347770368,46.094173,2555.0,Buy
ITC.NS,ITC Limited,https://www.itcportal.com,Consumer Defensive,500.5263,528.5,390.15,420.1,0.055,420.05,15.76,2025-05-22,2025-05-28,15.7,3.75,5257173663744,26.656092,420.1,Strong Buy
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,https://www.sunpharma.com,Healthcare,1981.4445,1960.35,1460.9,1681.0,0.38,1680.3,45.61,2025-05-22,2025-07-04,11.0,0.65,4030154670080,36.82745,1679.7,Buy
DIVISLAB.NS,Divi's Laboratories Limited,https://www.divislabs.com,Healthcare,6364.7334,6764.0,4395.3,6540.0,0.342,6537.0,82.86,2025-05-17,2025-07-24,30.0,0.45,1735636287488,78.904175,6538.0,Hold
CIPLA.NS,Cipla Limited,https://www.cipla.com,Healthcare,1648.6666,1702.05,1335.0,1490.6,0.158,1490.4,65.25,2025-05-13,2025-06-27,13.0,0.87,1203781107712,22.84138,1490.4,Buy
DRREDDY.NS,Dr. Reddy's Laboratories Limited,https://www.drreddys.com,Healthcare,1276.6685,1421.49,1020.0,1301.0,0.386,1300.6,67.76,2025-05-09,2025-07-09,8.0,0.62,1082677723136,19.203068,1301.2,Hold
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,https://www.apollohospitals.com,Healthcare,7889.6895,7545.35,5965.45,6821.0,0.281,6818.5,100.39,2025-05-30,2025-08-18,20.0,0.29,980397981696,67.92011,6818.5,Buy
MANKIND.NS,Mankind Pharma Limited,https://www.mankindpharma.com,Healthcare,2712.4707,3054.8,1901.05,2368.9,0.485,2369.0,49.07,2025-05-21,,,,977617616896,48.27797,2369.0,Buy
BAJFINANCE.NS,Bajaj Finance Limited,https://www.aboutbajajfinserv.com/finance-about-us,Financial Services,9320.383,9660.0,6425.0,8909.0,0.553,8906.5,268.02,2025-04-29,2025-05-30,44.0,0.49,5565393141760,33.26058,8914.5,Buy
LICI.NS,Life Insurance Corporation of India,https://www.licindia.in,Financial Services,1074.7142,1222.0,715.3,956.3,0.552,955.95,76.15,2025-05-27,2025-07-24,12.0,1.25,6049230225408,12.5594225,956.4,Buy
BAJAJFINSV.NS,Bajaj Finserv Ltd.,https://www.bajajfinserv.in,Financial Services,2034.1428,2135.0,1523.25,1931.3,0.65,1930.9,55.02,2025-04-29,2025-06-26,1.0,0.05,3098540507136,35.09633,1931.0,
