,Date,ADX
0,2019-02-21,3.9207689888121595
1,2019-02-22,4.261870698555688
2,2019-02-25,4.664571189809159
3,2019-02-26,4.787708609158154
4,2019-02-27,5.43269756260412
5,2019-02-28,6.031615876518231
6,2019-03-01,6.587754310867048
7,2019-03-05,7.398410239750663
8,2019-03-06,8.72548044410336
9,2019-03-07,9.957759919573721
10,2019-03-08,10.980489588704895
11,2019-03-11,12.110157840808174
12,2019-03-12,13.647274037242989
13,2019-03-13,14.257361884229141
14,2019-03-14,14.823872027859139
15,2019-03-15,15.432896825546262
16,2019-03-18,15.65569756379797
17,2019-03-19,16.199133890109994
18,2019-03-20,16.800929521201635
19,2019-03-22,17.545437064774973
20,2019-03-25,17.37782579997801
21,2019-03-26,17.373401554461786
22,2019-03-27,17.790118353232327
23,2019-03-28,18.34785584072384
24,2019-04-01,19.170841160201512
25,2019-04-02,18.95529443196719
26,2019-04-03,17.95739532900848
27,2019-04-04,17.030774733403966
28,2019-04-05,16.179848415246916
29,2019-04-08,15.272631887783957
30,2019-04-09,14.5457428408198
31,2019-04-10,13.93783774271355
32,2019-04-11,13.120263532268853
33,2019-04-12,12.361087479713062
34,2019-04-15,12.159215779911774
35,2019-04-16,11.971763487239153
36,2019-04-18,12.010368019473132
37,2019-04-22,12.49922657913186
38,2019-04-23,11.953673288899884
39,2019-04-24,11.447088090827334
40,2019-04-25,10.87186070465331
41,2019-04-26,10.337720988920285
42,2019-04-30,11.187192797240106
43,2019-05-02,11.975988047822797
44,2019-05-03,12.862734429674735
45,2019-05-06,13.911322303937757
46,2019-05-07,14.86799730289107
47,2019-05-08,16.832516043591163
48,2019-05-09,18.786751868963183
49,2019-05-10,20.60139942109434
50,2019-05-13,24.814439516428244
51,2019-05-14,28.726548176381154
52,2019-05-15,32.35922050348029
53,2019-05-16,36.02139500841523
54,2019-05-17,39.42198562014054
55,2019-05-20,41.31709258057877
56,2019-05-21,43.16198119006861
57,2019-05-22,44.875092041737744
58,2019-05-23,46.10922618285492
59,2019-05-24,47.255207885320864
60,2019-05-27,47.92610808237304
61,2019-05-28,48.59214830238405
62,2019-05-29,48.369155425633394
63,2019-05-30,48.162090611507786
64,2019-05-31,48.19477043124176
65,2019-06-03,48.03622710167532
66,2019-06-04,47.889008295649354
67,2019-06-06,48.0690565679675
68,2019-06-07,48.56409362035295
69,2019-06-10,49.068008911295024
70,2019-06-11,49.92976819007294
71,2019-06-12,50.729973234652434
72,2019-06-13,51.473020776047676
73,2019-06-14,52.49673755553106
74,2019-06-17,53.447331707908496
75,2019-06-18,54.52641113078265
76,2019-06-19,55.725057179584276
77,2019-06-20,55.19746847052618
78,2019-06-21,54.707564669257955
79,2019-06-24,54.44388545361122
80,2019-06-25,53.854301668275625
81,2019-06-26,51.13211246063387
82,2019-06-27,48.39602096532948
83,2019-06-28,45.36671702045328
84,2019-07-01,42.55379192878252
85,2019-07-02,40.894926433577915
86,2019-07-03,39.35455133088792
87,2019-07-04,38.09321867615279
88,2019-07-05,38.19920759213322
89,2019-07-08,38.727172732016136
90,2019-07-09,37.565053047240724
91,2019-07-10,36.243402807792336
92,2019-07-11,34.70386588362923
93,2019-07-12,32.22550954999766
94,2019-07-15,31.11706931142708
95,2019-07-16,30.533852939922344
96,2019-07-17,30.070302936715308
97,2019-07-18,29.29489947189691
98,2019-07-19,27.76909990245104
99,2019-07-22,27.282262215060012
100,2019-07-23,26.83019864819692
101,2019-07-24,25.89292389743382
102,2019-07-25,25.513866412275313
103,2019-07-26,25.324951426504736
104,2019-07-29,24.745199412060565
105,2019-07-30,23.719241785176877
106,2019-07-31,22.76656684592774
107,2019-08-01,21.88194011662497
108,2019-08-02,21.110653930971523
109,2019-08-05,20.874589374771237
110,2019-08-06,20.655386572585257
111,2019-08-07,19.74888700341081
112,2019-08-08,18.90713740346311
113,2019-08-09,17.88782285566216
114,2019-08-13,17.618937720980487
115,2019-08-14,16.55562086190651
116,2019-08-16,15.568255207052102
117,2019-08-19,15.341414791306391
118,2019-08-20,14.778964143792132
119,2019-08-21,13.910745676426588
120,2019-08-22,13.189331199886542
121,2019-08-23,12.780194769872711
122,2019-08-26,12.400282370574155
123,2019-08-27,12.047506571225496
124,2019-08-28,11.33310943387398
125,2019-08-29,12.09037216744807
126,2019-08-30,13.689704781301824
127,2019-09-03,15.31289646255004
128,2019-09-04,14.418615579198747
129,2019-09-05,13.486569613115469
130,2019-09-06,13.00035998209747
131,2019-09-09,12.179632805688646
132,2019-09-11,11.731853878987268
133,2019-09-12,10.965275816238833
134,2019-09-13,10.253453329401001
135,2019-09-16,9.68242512620564
136,2019-09-17,9.218088463199253
137,2019-09-18,9.192276876608982
138,2019-09-19,9.639021474955488
139,2019-09-20,9.857020545720966
140,2019-09-23,9.69551827025297
141,2019-09-24,9.545551871604117
142,2019-09-25,9.831832852214477
143,2019-09-26,10.061104595681964
144,2019-09-27,10.7432256396849
145,2019-09-30,12.414803514707566
146,2019-10-01,14.361978820749476
147,2019-10-03,16.313166413905517
148,2019-10-04,17.761805684843377
149,2019-10-07,19.784162335380618
150,2019-10-09,21.647600293945423
151,2019-10-10,23.06853349481624
152,2019-10-11,24.387971467053426
153,2019-10-14,24.202811675556656
154,2019-10-15,23.897517126837272
155,2019-10-16,23.31381292042766
156,2019-10-17,22.72246874233512
157,2019-10-18,21.617624881676637
158,2019-10-22,20.385500218400686
159,2019-10-23,19.07064697163846
160,2019-10-24,18.13192105353126
161,2019-10-25,17.818866456834257
162,2019-10-27,17.559479326571047
163,2019-10-29,17.895939211683505
