,Date,ADX
0,2019-02-21,19.935383292374734
1,2019-02-22,21.034343440131618
2,2019-02-25,22.27920529321836
3,2019-02-26,23.656353617816514
4,2019-02-27,24.38992553606977
5,2019-02-28,24.823776874873765
6,2019-03-01,25.31417015046411
7,2019-03-05,26.424303775326113
8,2019-03-06,27.71803427224287
9,2019-03-07,29.098219967636275
10,2019-03-08,30.830187563203935
11,2019-03-11,32.36337137320252
12,2019-03-12,33.78704205391549
13,2019-03-13,34.88613763249013
14,2019-03-14,35.906726384023735
15,2019-03-15,37.1695335643362
16,2019-03-18,39.04870645436979
17,2019-03-19,39.067435410383396
18,2019-03-20,39.08482658382461
19,2019-03-22,38.72614006630196
20,2019-03-25,38.87424399182188
21,2019-03-26,38.72436507938833
22,2019-03-27,38.29350168731263
23,2019-03-28,37.36037588296621
24,2019-04-01,35.586808336459384
25,2019-04-02,33.6084808359321
26,2019-04-03,32.07214522299433
27,2019-04-04,31.578367217820706
28,2019-04-05,31.506422940645695
29,2019-04-08,31.75375391640213
30,2019-04-09,31.644981096303304
31,2019-04-10,31.851338817772938
32,2019-04-11,31.69903946378825
33,2019-04-12,31.749161078557993
34,2019-04-15,32.18821703978983
35,2019-04-16,32.59591186093369
36,2019-04-18,32.12997132989147
37,2019-04-22,31.07710590653559
38,2019-04-23,29.31709458806362
39,2019-04-24,27.348154570041064
40,2019-04-25,25.692096154247913
41,2019-04-26,24.222218533679257
42,2019-04-30,23.12501771271926
43,2019-05-02,22.45663972897493
44,2019-05-03,21.706372403546847
45,2019-05-06,21.012643800981998
46,2019-05-07,19.857953495545807
47,2019-05-08,18.517182575338754
48,2019-05-09,17.998718800297663
49,2019-05-10,17.074820493337615
50,2019-05-13,15.886042388163977
51,2019-05-14,15.02852959525771
52,2019-05-15,15.345614928864672
53,2019-05-16,16.69734038248422
54,2019-05-17,18.210811112515653
55,2019-05-20,19.24194207613386
56,2019-05-21,20.19942082806505
57,2019-05-22,21.23247305086025
58,2019-05-23,21.821318838573976
59,2019-05-24,21.955339322194796
60,2019-05-27,21.128537544382844
61,2019-05-28,21.397470995129996
62,2019-05-29,22.272200967259266
63,2019-05-30,23.47196807714196
64,2019-05-31,24.16716322619039
65,2019-06-03,24.475503135810747
66,2019-06-04,24.761818766172503
67,2019-06-06,25.027683280079852
68,2019-06-07,25.899943521477848
69,2019-06-10,26.522346374081003
70,2019-06-11,27.251741243724545
71,2019-06-12,27.888777796742897
72,2019-06-13,26.82361990021292
73,2019-06-14,25.83454471057794
74,2019-06-17,24.916117748774035
75,2019-06-18,23.18802382901037
76,2019-06-19,21.98897026977932
77,2019-06-20,21.849077222539318
78,2019-06-21,21.80356392500955
79,2019-06-24,22.309233556053503
80,2019-06-25,22.532189355644586
81,2019-06-26,21.634588726892446
82,2019-06-27,21.807912066410893
83,2019-06-28,21.96885516739231
84,2019-07-01,22.251307746644105
85,2019-07-02,20.945062978722678
86,2019-07-03,20.11959570005929
87,2019-07-04,20.813547413090276
88,2019-07-05,21.717752309592722
89,2019-07-08,22.961899314659608
90,2019-07-09,24.20759085677009
91,2019-07-10,25.750949043121775
92,2019-07-11,27.184067359019764
93,2019-07-12,27.89255963439437
94,2019-07-15,28.31210379857985
95,2019-07-16,27.53829075992901
96,2019-07-17,26.34344013937872
97,2019-07-18,25.95592095220768
98,2019-07-19,26.759960699703107
99,2019-07-22,28.15122876765607
100,2019-07-23,29.443120545040966
101,2019-07-24,29.0762630247797
102,2019-07-25,28.41568089935119
103,2019-07-26,27.802283211453293
104,2019-07-29,26.99993723012517
105,2019-07-30,26.238592495443104
106,2019-07-31,25.800172243164543
107,2019-08-01,25.32348777477511
108,2019-08-02,24.819110866287957
109,2019-08-05,23.66988957741311
110,2019-08-06,22.567686849637138
111,2019-08-07,22.118538634967646
112,2019-08-08,21.839297975401823
113,2019-08-09,22.452303616482798
114,2019-08-13,22.748346463135615
115,2019-08-14,23.023243392170375
116,2019-08-16,23.40298130658805
117,2019-08-19,23.67178433812183
118,2019-08-20,24.222978177063794
119,2019-08-21,24.581118088968584
120,2019-08-22,24.767478290945398
121,2019-08-23,24.88567575085644
122,2019-08-26,25.268328522464717
123,2019-08-27,26.324478065933217
124,2019-08-28,27.40403524664123
125,2019-08-29,28.11381547543279
126,2019-08-30,28.573022109660485
127,2019-09-03,27.881427217964408
128,2019-09-04,28.013483866932443
129,2019-09-05,28.265892123088662
130,2019-09-06,29.071699830314824
131,2019-09-09,29.81994984416769
132,2019-09-11,28.894156032942256
133,2019-09-12,26.936320952600955
134,2019-09-13,25.521171860526312
135,2019-09-16,24.017526312479923
136,2019-09-17,22.621284017865417
137,2019-09-18,21.20766986316494
138,2019-09-19,20.71920347541445
139,2019-09-20,20.944686571836666
140,2019-09-23,22.152761666462418
141,2019-09-24,23.274545682900616
142,2019-09-25,23.948726965760237
143,2019-09-26,24.574752442701314
144,2019-09-27,24.721523351923825
145,2019-09-30,24.81975859982573
146,2019-10-01,25.327251023625195
147,2019-10-03,25.798493988581846
148,2019-10-04,25.96107273601197
149,2019-10-07,26.849226723446886
150,2019-10-09,27.861281407892157
151,2019-10-10,28.80104647201991
152,2019-10-11,29.828665422645695
153,2019-10-14,30.56755693531695
154,2019-10-15,30.952382898812704
155,2019-10-16,29.508096331142777
156,2019-10-17,28.020573712467833
157,2019-10-18,28.149960022792364
158,2019-10-22,28.29015829448355
159,2019-10-23,28.723404709677226
160,2019-10-24,29.49648291211301
161,2019-10-25,30.39755255785317
162,2019-10-27,31.372341547849405
163,2019-10-29,32.60603285954266
