,Date,ADX
0,2019-02-21,7.241098518564539
1,2019-02-22,7.624611469127591
2,2019-02-25,8.045254353255357
3,2019-02-26,8.553633611030037
4,2019-02-27,9.025700064677954
5,2019-02-28,9.474991225012689
6,2019-03-01,9.892190159609228
7,2019-03-05,9.544614329209981
8,2019-03-06,9.373252596283555
9,2019-03-07,9.008304166646207
10,2019-03-08,8.534972917548073
11,2019-03-11,8.128718983087253
12,2019-03-12,7.674707869366027
13,2019-03-13,7.538395179198035
14,2019-03-14,7.903847061103002
15,2019-03-15,7.676961743989019
16,2019-03-18,7.656763957718633
17,2019-03-19,7.63800887046756
18,2019-03-20,7.187754990368862
19,2019-03-22,6.96477034433251
20,2019-03-25,6.75771317301304
21,2019-03-26,7.422322643032473
22,2019-03-27,8.315880557705869
23,2019-03-28,8.598509112559798
24,2019-04-01,8.146404111041017
25,2019-04-02,7.726592323916434
26,2019-04-03,7.799811687524522
27,2019-04-04,8.311550521031092
28,2019-04-05,8.44377810754674
29,2019-04-08,8.379282739240512
30,2019-04-09,7.8299457575175895
31,2019-04-10,7.401085827336688
32,2019-04-11,7.462873780670909
33,2019-04-12,7.7641613412589665
34,2019-04-15,7.287798492873463
35,2019-04-16,7.182088899472026
36,2019-04-18,7.3528409425207295
37,2019-04-22,7.625717229965651
38,2019-04-23,7.87910235402165
39,2019-04-24,8.880931688254124
40,2019-04-25,10.203187016987473
41,2019-04-26,11.43099553652558
42,2019-04-30,13.166994259226922
43,2019-05-02,15.17466947258991
44,2019-05-03,15.529982509381
45,2019-05-06,15.609896416954035
46,2019-05-07,15.658044217096258
47,2019-05-08,14.856821443620692
48,2019-05-09,14.160672464586513
49,2019-05-10,13.514248412626204
50,2019-05-13,13.817592354560272
51,2019-05-14,13.317751160994792
52,2019-05-15,12.922405059718514
53,2019-05-16,12.836073528317746
54,2019-05-17,13.070254904996771
55,2019-05-20,14.076217272369473
56,2019-05-21,15.010325184929838
57,2019-05-22,16.981344305371998
58,2019-05-23,18.949769341378946
59,2019-05-24,21.08637880506285
60,2019-05-27,23.4731643774034
61,2019-05-28,24.8455996630168
62,2019-05-29,25.978128806630632
63,2019-05-30,27.0591895685731
64,2019-05-31,26.451938745720877
65,2019-06-03,25.879878571533688
66,2019-06-04,25.479038670915422
67,2019-06-06,25.81194250262657
68,2019-06-07,26.342846979607625
69,2019-06-10,25.403922918821984
70,2019-06-11,24.42338884664688
71,2019-06-12,24.405975210156136
72,2019-06-13,24.627371079658452
73,2019-06-14,24.99105308769511
74,2019-06-17,25.392417749873896
75,2019-06-18,25.63942411973692
76,2019-06-19,26.225314467893032
77,2019-06-20,27.335056884426614
78,2019-06-21,27.096810812637802
79,2019-06-24,26.875582317405332
80,2019-06-25,27.06409529648381
81,2019-06-26,27.433672330841347
82,2019-06-27,28.853482270135228
83,2019-06-28,30.171877213765264
84,2019-07-01,31.463520274540294
85,2019-07-02,32.74653166700041
86,2019-07-03,34.00979350058228
87,2019-07-04,35.2466920454376
88,2019-07-05,37.07309403591351
89,2019-07-08,39.12074430101005
90,2019-07-09,41.0221338328854
91,2019-07-10,42.6808517911917
92,2019-07-11,44.487886938531275
93,2019-07-12,46.16584814677516
94,2019-07-15,46.6487073965284
95,2019-07-16,46.97678380796298
96,2019-07-17,45.608958393780696
97,2019-07-18,44.338834794897146
98,2019-07-19,44.028631613993255
99,2019-07-22,43.74058580315393
100,2019-07-23,43.688583391542515
101,2019-07-24,44.26753968731619
102,2019-07-25,45.16157233815327
103,2019-07-26,46.007230798446976
104,2019-07-29,46.32171642136914
105,2019-07-30,46.92761609967407
106,2019-07-31,48.26554418725103
107,2019-08-01,49.50790598285822
108,2019-08-02,49.986205848160004
109,2019-08-05,49.14677178831897
110,2019-08-06,46.09700630477066
111,2019-08-07,43.26508121290436
112,2019-08-08,40.2733637983555
113,2019-08-09,37.82986536013717
114,2019-08-13,36.82157662942132
115,2019-08-14,35.88530852232804
116,2019-08-16,35.01591670859856
117,2019-08-19,33.1754206487303
118,2019-08-20,31.07628659876224
119,2019-08-21,29.12709069522047
120,2019-08-22,27.40793437579842
121,2019-08-23,26.461918747424956
122,2019-08-26,24.90084215848245
123,2019-08-27,23.4512710401787
124,2019-08-28,22.354626216568114
125,2019-08-29,21.37560491043874
126,2019-08-30,20.941597975803685
127,2019-09-03,21.502794852945353
128,2019-09-04,21.491319027236756
129,2019-09-05,21.374829913417653
130,2019-09-06,22.517346873410936
131,2019-09-09,23.013174132424094
132,2019-09-11,22.74554161280845
133,2019-09-12,21.93782058111774
134,2019-09-13,21.314723135903147
135,2019-09-16,21.414916986945798
136,2019-09-17,20.65316640625935
137,2019-09-18,19.945826581336217
138,2019-09-19,19.13675535576954
139,2019-09-20,18.06496958919917
140,2019-09-23,17.899466249986215
141,2019-09-24,17.669416697537535
142,2019-09-25,17.12256275044012
143,2019-09-26,16.132078585560006
144,2019-09-27,15.004654545479909
145,2019-09-30,14.40437339015706
146,2019-10-01,13.846969460214414
147,2019-10-03,13.895191648442239
148,2019-10-04,13.93996939465379
149,2019-10-07,13.669888592944428
150,2019-10-09,13.419099277071448
151,2019-10-10,12.651538072754096
152,2019-10-11,12.505220005672133
153,2019-10-14,11.85621730037751
154,2019-10-15,11.215696061432274
155,2019-10-16,10.760337980875933
156,2019-10-17,10.529943960757691
157,2019-10-18,10.047866202229857
158,2019-10-22,9.976294142855664
159,2019-10-23,9.624476765861798
160,2019-10-24,9.689743074095178
161,2019-10-25,10.290916788169458
162,2019-10-27,10.237380956026215
163,2019-10-29,10.6651130941994
