,ADX
2022-12-19,29.9111
2022-12-16,30.5919
2022-12-15,32.7441
2022-12-14,35.3375
2022-12-13,36.9879
2022-12-12,37.2172
2022-12-09,37.4719
2022-12-08,35.4529
2022-12-07,33.8394
2022-12-06,32.0467
2022-12-05,31.4717
2022-12-02,31.9310
2022-12-01,30.9930
2022-11-30,27.0650
2022-11-29,22.7006
2022-11-28,18.9832
2022-11-25,18.5002
2022-11-24,17.9635
2022-11-23,17.3673
2022-11-22,18.6141
2022-11-21,20.2726
2022-11-18,22.1058
2022-11-17,22.4133
2022-11-16,23.0808
2022-11-15,22.6205
2022-11-14,20.8641
2022-11-11,19.3298
2022-11-10,19.4597
2022-11-09,19.0350
2022-11-07,18.5630
2022-11-04,19.0269
2022-11-03,19.5422
2022-11-02,19.7884
2022-11-01,20.0619
2022-10-31,22.1386
2022-10-28,23.4441
2022-10-27,23.8357
2022-10-25,23.0382
2022-10-21,22.4865
2022-10-20,23.8774
2022-10-19,24.1590
2022-10-18,25.1525
2022-10-17,27.3568
2022-10-14,27.2136
2022-10-13,27.3740
2022-10-12,25.9653
2022-10-11,24.3602
2022-10-10,22.5768
2022-10-07,20.5952
2022-10-06,19.4699
2022-10-04,19.4168
2022-10-03,20.7866
2022-09-30,22.3085
2022-09-29,22.8670
2022-09-28,21.6480
2022-09-27,21.0131
2022-09-26,20.1252
2022-09-23,19.1387
2022-09-22,16.1240
2022-09-21,13.4253
2022-09-20,12.3038
2022-09-19,12.1957
2022-09-16,13.1531
2022-09-15,12.5702
2022-09-14,13.7458
2022-09-13,15.0520
2022-09-12,14.8023
2022-09-09,14.9492
2022-09-08,14.4638
2022-09-07,15.2025
2022-09-06,16.0234
2022-09-05,17.0696
2022-09-02,18.3425
2022-09-01,19.7569
2022-08-30,20.8616
2022-08-29,22.0891
2022-08-26,22.7030
2022-08-25,24.9667
2022-08-24,27.7346
2022-08-23,29.8237
2022-08-22,33.0477
2022-08-19,34.6771
2022-08-18,36.0651
2022-08-17,35.1016
2022-08-16,34.6485
2022-08-12,35.8279
2022-08-11,38.1998
2022-08-10,39.3306
2022-08-08,38.6590
2022-08-05,38.6153
2022-08-04,38.5666
2022-08-03,39.0342
2022-08-02,39.5536
2022-08-01,40.9499
2022-07-29,42.5619
2022-07-28,43.4667
2022-07-27,45.0437
2022-07-26,47.8048
2022-07-25,50.2029
2022-07-22,48.3621
2022-07-21,46.4776
2022-07-20,44.5920
2022-07-19,42.6524
2022-07-18,41.1727
2022-07-15,39.1977
2022-07-14,37.4887
2022-07-13,36.5319
2022-07-12,35.5349
2022-07-11,34.9772
2022-07-08,32.5071
2022-07-07,30.0762
2022-07-06,26.6767
2022-07-05,23.1771
2022-07-04,20.8154
2022-07-01,18.8522
2022-06-30,19.0615
2022-06-29,21.0458
2022-06-28,22.6776
2022-06-27,21.6830
2022-06-24,19.1962
2022-06-23,16.7794
2022-06-22,16.1334
2022-06-21,16.8810
2022-06-20,17.7116
2022-06-17,19.2631
2022-06-16,18.3414
2022-06-15,18.9994
2022-06-14,19.7306
2022-06-13,21.0357
2022-06-10,22.4858
2022-06-09,23.6888
2022-06-08,25.3355
2022-06-07,27.7598
2022-06-06,30.4250
2022-06-03,31.6709
2022-06-02,32.2059
2022-06-01,33.4382
2022-05-31,32.5906
2022-05-30,32.7959
2022-05-27,31.4921
2022-05-26,30.7562
2022-05-25,30.9358
2022-05-24,29.5665
2022-05-23,27.1538
2022-05-20,23.7058
2022-05-19,20.5606
2022-05-18,18.5253
2022-05-17,16.2639
2022-05-16,14.3658
2022-05-13,13.9446
2022-05-12,13.6101
2022-05-11,14.8795
2022-05-10,16.4669
2022-05-09,18.2307
2022-05-06,17.8434
2022-05-05,17.4131
2022-05-04,18.4563
2022-05-02,19.6153
2022-04-29,20.6438
2022-04-28,21.0868
2022-04-27,22.8072
2022-04-26,21.4903
2022-04-25,20.5048
2022-04-22,19.4098
2022-04-21,20.7102
2022-04-20,21.3848
2022-04-19,23.5940
2022-04-18,25.9054
2022-04-13,26.3629
2022-04-12,27.6745
2022-04-11,29.1319
2022-04-08,29.9525
2022-04-07,29.3739
2022-04-06,29.3119
2022-04-05,29.5773
2022-04-04,30.0503
2022-04-01,31.3942
2022-03-31,34.6400
2022-03-30,37.3478
2022-03-29,38.4765
2022-03-28,38.3596
2022-03-25,37.3649
2022-03-24,36.5761
2022-03-23,35.8015
2022-03-22,35.4951
2022-03-21,35.1547
2022-03-17,36.6668
2022-03-16,39.3910
2022-03-15,40.7991
2022-03-14,42.3637
2022-03-11,44.6487
2022-03-10,47.7989
2022-03-09,51.2991
2022-03-08,50.6412
2022-03-07,47.0170
2022-03-04,43.1547
2022-03-03,39.2022
2022-03-02,36.1210
2022-02-28,33.4546
2022-02-25,30.4918
2022-02-24,28.2030
2022-02-23,25.6848
2022-02-22,26.3765
2022-02-21,27.1451
2022-02-18,29.9998
2022-02-17,33.1716
2022-02-16,36.0138
2022-02-15,38.5177
2022-02-14,41.2997
2022-02-11,39.6650
2022-02-10,39.6725
2022-02-09,40.0822
2022-02-08,40.2482
2022-02-07,38.7773
2022-02-04,37.1431
2022-02-03,37.3069
2022-02-02,37.8794
2022-02-01,38.8412
2022-01-31,38.2757
2022-01-28,36.8717
2022-01-27,35.5831
2022-01-25,34.1512
2022-01-24,32.5603
2022-01-21,31.6233
2022-01-20,29.6431
2022-01-19,26.7910
2022-01-18,25.4739
2022-01-17,26.6771
2022-01-14,27.4684
2022-01-13,29.3659
2022-01-12,30.0181
2022-01-11,31.1264
2022-01-10,32.3579
2022-01-07,32.6792
2022-01-06,33.2404
2022-01-05,34.7199
2022-01-04,34.2142
2022-01-03,34.1977
2021-12-31,35.7429
2021-12-30,38.0240
2021-12-29,40.8094
2021-12-28,42.9724
2021-12-27,44.9970
2021-12-24,46.2027
2021-12-23,47.8790
2021-12-22,48.6915
2021-12-21,49.5943
2021-12-20,49.2990
2021-12-17,46.5159
2021-12-16,43.8923
2021-12-15,43.6203
2021-12-14,43.3181
2021-12-13,43.2025
2021-12-10,43.0740
2021-12-09,43.8669
2021-12-08,44.8521
2021-12-07,45.5203
2021-12-06,45.8577
2021-12-03,46.2326
2021-12-02,48.1249
2021-12-01,50.5778
2021-11-30,50.6712
2021-11-29,50.7749
2021-11-26,48.8580
2021-11-25,47.6284
2021-11-24,46.7333
2021-11-23,46.5659
2021-11-22,45.6572
2021-11-18,46.2014
2021-11-17,46.2534
2021-11-16,47.0570
2021-11-15,48.5705
2021-11-12,49.7927
2021-11-11,49.4403
2021-11-10,48.4933
2021-11-09,48.3337
2021-11-08,48.8506
2021-11-03,48.8539
2021-11-02,48.6766
2021-11-01,48.9218
2021-10-29,47.6693
2021-10-28,45.6032
2021-10-27,43.3075
2021-10-26,41.1450
2021-10-25,39.2135
2021-10-22,35.6336
2021-10-21,31.9401
2021-10-20,27.8364
2021-10-19,23.8383
2021-10-18,20.2847
2021-10-14,20.7563
2021-10-13,21.0677
2021-10-12,22.7968
2021-10-11,24.3185
2021-10-08,24.2304
2021-10-07,24.1325
2021-10-06,26.3718
2021-10-05,28.9778
2021-10-04,31.1022
2021-10-01,33.4626
2021-09-30,35.1423
2021-09-29,36.6160
2021-09-28,38.2535
2021-09-27,41.5782
2021-09-24,45.2724
2021-09-23,49.8807
2021-09-22,52.4316
2021-09-21,55.1983
2021-09-20,56.7103
2021-09-17,60.1570
2021-09-16,65.2138
2021-09-15,66.1732
2021-09-14,67.7022
2021-09-13,69.4010
2021-09-09,68.5033
2021-09-08,67.5059
2021-09-07,66.5910
2021-09-06,65.0692
2021-09-03,62.8463
2021-09-02,60.4953
2021-09-01,57.8917
2021-08-31,55.2622
2021-08-30,52.6993
2021-08-27,50.2016
2021-08-26,47.6402
2021-08-25,43.6189
2021-08-24,39.4110
2021-08-23,34.7981
2021-08-20,29.6726
2021-08-18,24.3340
2021-08-17,20.5156
2021-08-16,16.6616
2021-08-13,14.4722
2021-08-12,13.8339
2021-08-11,13.1246
2021-08-10,13.7592
2021-08-09,14.6757
2021-08-06,14.1774
2021-08-05,14.8627
2021-08-04,15.6242
2021-08-03,15.2637
2021-08-02,14.9799
2021-07-30,15.7047
2021-07-29,16.5102
2021-07-28,18.2933
2021-07-27,19.4004
2021-07-26,21.1696
2021-07-23,22.5904
2021-07-22,22.9315
2021-07-20,21.6311
2021-07-19,22.8264
2021-07-16,22.3241
2021-07-15,22.3526
2021-07-14,21.8882
2021-07-13,21.9212
2021-07-12,23.5559
2021-07-09,25.3849
2021-07-08,28.1057
2021-07-07,31.1523
2021-07-06,34.1094
2021-07-05,35.4956
2021-07-02,35.4951
2021-07-01,36.4848
2021-06-30,36.3564
2021-06-29,36.2137
2021-06-28,36.3545
2021-06-25,38.0806
2021-06-24,39.3841
2021-06-23,38.1023
2021-06-22,36.6780
2021-06-21,32.6658
2021-06-18,28.2555
2021-06-17,23.9438
2021-06-16,21.5072
2021-06-15,19.1238
2021-06-14,17.9478
2021-06-11,18.1898
2021-06-10,17.6477
2021-06-09,17.0453
2021-06-08,18.7605
2021-06-07,19.8493
2021-06-04,19.8489
2021-06-03,20.0421
2021-06-02,21.2112
2021-06-01,22.8383
2021-05-31,23.4859
2021-05-28,22.2648
2021-05-27,20.9080
2021-05-26,19.4385
2021-05-25,19.2471
2021-05-24,19.0026
2021-05-21,17.8973
2021-05-20,17.2594
2021-05-19,16.2544
2021-05-18,15.3934
2021-05-17,15.5297
2021-05-14,14.9539
2021-05-12,13.4834
