,ADX
2023-02-06,22.8840
2023-02-03,23.7676
2023-02-02,24.4811
2023-02-01,25.2739
2023-01-31,26.8909
2023-01-30,29.3968
2023-01-27,29.0753
2023-01-25,26.4759
2023-01-24,24.1052
2023-01-23,22.4597
2023-01-20,21.0665
2023-01-19,22.4252
2023-01-18,23.0573
2023-01-17,21.2888
2023-01-16,19.3914
2023-01-13,17.9820
2023-01-12,17.6082
2023-01-11,19.0363
2023-01-10,17.9719
2023-01-09,16.7893
2023-01-06,18.1172
2023-01-05,18.4176
2023-01-04,18.7515
2023-01-03,20.1085
2023-01-02,20.8912
2022-12-30,21.7608
2022-12-29,22.7270
2022-12-28,23.3224
2022-12-27,25.3918
2022-12-26,27.3825
2022-12-23,30.1130
2022-12-22,30.0601
2022-12-21,30.0014
2022-12-20,31.1066
2022-12-19,33.9070
2022-12-16,36.7391
2022-12-15,39.8859
2022-12-14,43.4216
2022-12-13,45.0295
2022-12-12,47.3897
2022-12-09,51.4577
2022-12-08,54.0411
2022-12-07,52.5855
2022-12-06,50.9682
2022-12-05,49.3306
2022-12-02,46.9145
2022-12-01,44.1688
2022-11-30,41.1179
2022-11-29,39.1719
2022-11-28,38.0441
2022-11-25,37.9769
2022-11-24,37.8330
2022-11-23,38.5383
2022-11-22,39.3219
2022-11-21,40.1926
2022-11-18,41.8268
2022-11-17,43.0691
2022-11-16,42.0546
2022-11-15,40.3750
2022-11-14,38.7992
2022-11-11,38.0183
2022-11-10,37.1506
2022-11-09,36.4988
2022-11-07,34.0709
2022-11-04,31.6606
2022-11-03,29.3931
2022-11-02,28.4771
2022-11-01,26.0478
2022-10-31,23.5813
2022-10-28,22.0232
2022-10-27,24.1539
2022-10-25,26.5214
2022-10-21,29.4631
2022-10-20,31.5017
2022-10-19,33.4638
2022-10-18,35.6439
2022-10-17,38.7441
2022-10-14,38.3348
2022-10-13,39.0669
2022-10-12,38.7657
2022-10-11,37.6988
2022-10-10,36.5436
2022-10-07,35.8431
2022-10-06,35.2082
2022-10-04,35.8895
2022-10-03,36.9827
2022-09-30,37.7148
2022-09-29,37.8950
2022-09-28,36.7752
2022-09-27,35.5310
2022-09-26,34.2116
2022-09-23,32.1655
2022-09-22,30.5977
2022-09-21,29.5254
2022-09-20,28.8411
2022-09-19,29.3858
2022-09-16,29.2546
2022-09-15,31.0256
2022-09-14,31.1499
2022-09-13,30.9847
2022-09-12,28.9153
2022-09-09,27.1958
2022-09-08,24.7202
2022-09-07,22.6664
2022-09-06,21.7735
2022-09-05,23.6944
2022-09-02,25.9808
2022-09-01,27.2486
2022-08-30,27.1394
2022-08-29,28.2480
2022-08-26,30.8270
2022-08-25,33.4456
2022-08-24,36.4637
2022-08-23,40.1727
2022-08-22,44.2938
2022-08-19,48.0927
2022-08-18,48.0012
2022-08-17,48.7692
2022-08-16,49.6225
2022-08-12,51.1628
2022-08-11,53.6737
2022-08-10,54.5802
2022-08-08,55.5602
2022-08-05,54.6732
2022-08-04,53.6876
2022-08-03,53.4545
2022-08-02,53.1955
2022-08-01,50.5742
2022-07-29,47.9565
2022-07-28,45.5035
2022-07-27,42.7779
2022-07-26,39.9297
2022-07-25,37.2575
2022-07-22,34.3915
2022-07-21,31.2070
2022-07-20,30.4005
2022-07-19,28.3463
2022-07-18,26.5979
2022-07-15,25.9361
2022-07-14,28.2355
2022-07-13,30.7903
2022-07-12,30.9906
2022-07-11,31.2132
2022-07-08,30.4270
2022-07-07,28.6947
2022-07-06,27.8397
2022-07-05,27.3200
2022-07-04,28.1323
2022-07-01,29.4463
2022-06-30,31.7005
2022-06-29,35.1782
2022-06-28,38.9885
2022-06-27,41.9430
2022-06-24,45.3562
2022-06-23,47.6250
2022-06-22,49.8842
2022-06-21,50.8404
2022-06-20,51.9029
2022-06-17,51.1314
2022-06-16,49.0893
2022-06-15,47.4213
2022-06-14,46.3485
2022-06-13,45.1564
2022-06-10,43.2936
2022-06-09,41.6215
2022-06-08,39.9586
2022-06-07,38.4181
2022-06-06,36.0282
2022-06-03,34.2263
2022-06-02,32.4105
2022-06-01,32.6359
2022-05-31,33.3192
2022-05-30,35.1011
2022-05-27,37.0810
2022-05-26,36.2088
2022-05-25,34.0421
2022-05-24,32.0747
2022-05-23,30.2464
2022-05-20,28.6509
2022-05-19,28.2023
2022-05-18,27.7039
2022-05-17,27.8196
2022-05-16,25.2549
2022-05-13,22.4053
2022-05-12,21.6969
2022-05-11,20.7812
2022-05-10,21.1727
2022-05-09,21.3640
2022-05-06,18.9302
2022-05-05,16.6192
2022-05-04,15.8234
2022-05-02,17.2723
2022-04-29,18.8095
2022-04-28,20.5175
2022-04-27,20.3359
2022-04-26,19.9950
2022-04-25,20.9571
2022-04-22,22.0262
2022-04-21,23.4747
2022-04-20,23.1406
2022-04-19,23.5554
2022-04-18,25.0330
2022-04-13,27.5982
2022-04-12,28.1544
2022-04-11,28.1464
2022-04-08,26.3516
2022-04-07,25.0461
2022-04-06,24.1672
2022-04-05,23.2544
2022-04-04,22.2401
2022-04-01,21.6631
2022-03-31,21.7397
2022-03-30,21.5917
2022-03-29,21.7014
2022-03-28,22.9501
2022-03-25,24.9457
2022-03-24,27.6192
2022-03-23,30.5040
2022-03-22,33.1892
2022-03-21,35.0716
2022-03-17,38.1108
2022-03-16,41.6151
2022-03-15,45.4141
2022-03-14,47.9934
2022-03-11,49.4585
2022-03-10,51.2194
2022-03-09,53.3394
2022-03-08,53.1864
2022-03-07,50.1548
2022-03-04,46.8795
2022-03-03,43.4979
2022-03-02,40.0717
2022-02-28,37.4166
2022-02-25,34.9134
2022-02-24,32.3999
2022-02-23,29.6072
2022-02-22,28.3331
2022-02-21,25.1843
2022-02-18,22.4378
2022-02-17,20.1056
2022-02-16,18.6194
2022-02-15,18.3047
2022-02-14,17.7986
2022-02-11,15.9522
2022-02-10,16.7078
2022-02-09,16.7273
2022-02-08,16.7834
2022-02-07,17.5690
2022-02-04,18.2853
2022-02-03,18.8520
2022-02-02,20.0477
2022-02-01,20.3318
2022-01-31,21.0699
2022-01-28,21.4689
2022-01-27,21.6684
2022-01-25,19.8567
2022-01-24,18.2662
