Datetime,Open,High,Low,Close,Adj Close,Volume
2023-09-29 09:15:00,3524.64990234375,3537.5,3524.64990234375,3537.5,3537.5,0
2023-09-29 09:16:00,3539.949951171875,3555.85009765625,3539.949951171875,3550.10009765625,3550.10009765625,19070
2023-09-29 09:17:00,3550.800048828125,3551.800048828125,3545.64990234375,3547.199951171875,3547.199951171875,10272
2023-09-29 09:18:00,3546.75,3547.800048828125,3540.449951171875,3543.5,3543.5,13824
2023-09-29 09:19:00,3541.75,3545.800048828125,3541.35009765625,3545.699951171875,3545.699951171875,9793
2023-09-29 09:20:00,3545.550048828125,3545.550048828125,3531.10009765625,3531.10009765625,3531.10009765625,5292
2023-09-29 09:21:00,3531.0,3532.0,3524.199951171875,3527.300048828125,3527.300048828125,8801
2023-09-29 09:22:00,3527.550048828125,3531.0,3526.199951171875,3529.64990234375,3529.64990234375,7935
2023-09-29 09:23:00,3530.0,3530.0,3529.199951171875,3530.0,3530.0,382
2023-09-29 09:24:00,3530.0,3536.25,3530.0,3531.800048828125,3531.800048828125,25501
2023-09-29 09:25:00,3530.10009765625,3531.85009765625,3525.60009765625,3528.0,3528.0,4641
2023-09-29 09:26:00,3526.800048828125,3527.050048828125,3521.0,3522.89990234375,3522.89990234375,7115
2023-09-29 09:27:00,3522.89990234375,3524.699951171875,3521.0,3522.75,3522.75,8499
2023-09-29 09:28:00,3521.550048828125,3526.89990234375,3521.550048828125,3525.800048828125,3525.800048828125,10215
2023-09-29 09:29:00,3525.949951171875,3526.85009765625,3523.0,3524.10009765625,3524.10009765625,4862
2023-09-29 09:30:00,3524.5,3528.35009765625,3521.89990234375,3524.35009765625,3524.35009765625,6775
2023-09-29 09:31:00,3525.39990234375,3525.39990234375,3523.300048828125,3524.10009765625,3524.10009765625,2776
2023-09-29 09:32:00,3523.699951171875,3524.949951171875,3517.550048828125,3518.89990234375,3518.89990234375,7441
2023-09-29 09:33:00,3519.300048828125,3524.0,3519.300048828125,3523.949951171875,3523.949951171875,5081
2023-09-29 09:34:00,3521.35009765625,3523.39990234375,3518.0,3518.550048828125,3518.550048828125,7133
2023-09-29 09:35:00,3518.800048828125,3520.0,3514.0,3514.10009765625,3514.10009765625,8578
2023-09-29 09:36:00,3514.050048828125,3517.199951171875,3513.949951171875,3513.949951171875,3513.949951171875,5564
2023-09-29 09:37:00,3513.75,3516.199951171875,3512.0,3512.449951171875,3512.449951171875,8585
2023-09-29 09:38:00,3512.449951171875,3513.949951171875,3510.0,3510.60009765625,3510.60009765625,8150
2023-09-29 09:39:00,3510.60009765625,3512.050048828125,3505.60009765625,3507.300048828125,3507.300048828125,10266
2023-09-29 09:40:00,3507.300048828125,3513.14990234375,3506.85009765625,3513.050048828125,3513.050048828125,7994
2023-09-29 09:41:00,3512.64990234375,3515.0,3511.35009765625,3514.14990234375,3514.14990234375,4987
2023-09-29 09:42:00,3514.14990234375,3514.14990234375,3511.0,3511.64990234375,3511.64990234375,4166
2023-09-29 09:43:00,3512.5,3516.699951171875,3512.050048828125,3515.699951171875,3515.699951171875,4561
2023-09-29 09:44:00,3515.949951171875,3516.35009765625,3510.0,3514.14990234375,3514.14990234375,31987
2023-09-29 09:45:00,3514.75,3518.0,3513.75,3515.85009765625,3515.85009765625,5562
2023-09-29 09:46:00,3515.85009765625,3515.89990234375,3512.10009765625,3512.300048828125,3512.300048828125,4459
2023-09-29 09:47:00,3513.550048828125,3517.800048828125,3513.550048828125,3516.25,3516.25,3237
2023-09-29 09:48:00,3516.10009765625,3517.949951171875,3516.0,3517.10009765625,3517.10009765625,3552
2023-09-29 09:49:00,3516.60009765625,3518.0,3516.050048828125,3517.449951171875,3517.449951171875,3111
2023-09-29 09:50:00,3517.800048828125,3523.699951171875,3516.800048828125,3521.300048828125,3521.300048828125,8936
