Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA,13MA,30MA,EMA,DEMA,+DI,-DI,DX,ADX,VWAP,Upper_Band,Lower_Band,MACD,Signal_line,%K,%D
2019-03-15,7109.0,7157.0,7060.0,7084.0,6771.66796875,861945,,,,,7084.0,7084.0,,,,,7100.333333333333,,,0.0,0.0,,
2019-03-18,7077.4501953125,7077.4501953125,6776.60009765625,6894.0,6590.04443359375,1336134,,,,,7049.454545454546,7021.190082644629,,,,,6988.293850394747,,,-15.156695156695605,-3.031339031339121,,
2019-03-19,6900.0,6901.9501953125,6809.25,6825.2001953125,6524.27880859375,816763,,,,,7008.681027246901,6952.195406414351,,,,,6949.599997544764,,,-32.34717640659346,-8.89450650638999,,
2019-03-20,6860.0,6860.0,6650.0,6673.5498046875,6379.314453125,1017560,,,,,6947.748077690646,6851.678338281624,,,,,6893.6422845615225,,,-57.544340439630105,-18.624473293038015,,
2019-03-22,6567.0,6716.2998046875,6532.35009765625,6552.7001953125,6263.79296875,1715983,,,,,6875.921189985528,6738.551222346687,,,,,6806.119802998455,,,-86.27035699184216,-32.15365003279885,,
2019-03-25,6515.0,6621.0,6491.2001953125,6522.60009765625,6235.02001953125,1093184,,,,,6811.680991380204,6646.727218998615,,,,,6764.385989760856,,,-110.19450473618963,-47.76182097347701,,
2019-03-26,6558.0,6600.0,6480.0,6585.7001953125,6295.337890625,909087,,,,,6770.593573913349,6602.014418582804,,,,,6739.85414345154,,,-122.64909127857118,-62.73927503449585,,
2019-03-27,6628.0,6640.0,6500.0,6518.0,6230.623046875,887601,,,,,6724.667469565467,6549.163166192209,,,,,6720.6201947994305,,,-136.4098331668638,-77.47338666096944,,
2019-03-28,6535.0,6625.0,6501.2001953125,6596.25,6305.4228515625,949713,,,,,6701.318838735382,6538.620983478102,,,,,6706.1119530878605,,,-139.3943479435393,-89.85757891748341,,
2019-04-01,6730.7998046875,6870.0,6700.0,6840.7001953125,6539.09521484375,1142386,,,,,6726.660903567585,6614.278893219795,,,,,6716.487282182304,,,-120.64380293801605,-96.01482372158993,,
2019-04-02,6859.4501953125,6900.7001953125,6785.5,6889.7001953125,6585.93505859375,866805,,,,,6756.304411157569,6688.6092725375465,,,,,6727.1116945478125,,,-100.66951493724446,-96.94576196472084,,
2019-04-03,6896.0,7098.0,6896.0,7072.89990234375,6761.05712890625,1491021,,,,,6813.867227736875,6805.577146067199,,,,,6760.7398878177255,,,-69.2586914134954,-91.40834785447575,,
2019-04-04,7120.0,7170.0,7061.64990234375,7113.10009765625,6799.4853515625,1388375,,,6782.184682992788,,6868.273204085852,6906.004390641643,,,,,6794.70723138805,,,-40.65294581966373,-81.25726744751334,,
2019-04-05,7095.0,7143.9501953125,7050.0,7107.7001953125,6794.3232421875,729603,,,6784.007774939904,,6911.805384308878,6978.293593491548,,,,,6809.381803831585,,,-18.208516885310928,-68.64751733507286,90.97104279891305,
2019-04-08,7107.0,7150.0,7044.7001953125,7129.4501953125,6815.1142578125,498374,51.72886685754967,,6802.1193284254805,,6951.3771681277185,7038.153526038044,26.71412136169698,28.216946552115672,2.735838292415214,,6818.859864657184,,,1.3186968596692168,-54.65427449612445,94.12321671195653,
2019-04-09,7134.0,7235.0,7080.0,7216.5498046875,6898.37353515625,741669,63.31148544556284,,6832.22314453125,,6999.590374774951,7110.036382140226,28.68718879253463,26.237495202245604,4.460095920664437,,6835.0190571713365,,,23.550885050355646,-39.01324258682843,97.55626552152317,94.21684167746425
2019-04-10,7218.9501953125,7218.9501953125,7144.60009765625,7186.35009765625,6869.50537109375,590107,65.39493303975809,,6871.669320913462,,7033.546688026096,7151.694041257712,27.683961352599983,25.31993665956621,4.460095920664457,,6847.082884324436,,,38.291786518624576,-23.55223676573783,93.55630432533113,95.0785955196036
2019-04-11,7186.9501953125,7220.0,7150.0,7187.85009765625,6870.939453125,609539,75.14180922501596,,6920.527005709135,,7061.601853413396,7181.222095919784,26.787346188867016,24.452914925222295,4.555853566879722,,6858.7883422292125,,,49.52421032973325,-8.936947346643615,93.75497982201986,94.95584988962473
2019-04-12,7188.89990234375,7357.0,7161.0498046875,7342.85009765625,7019.10595703125,929935,87.37881156681705,,6983.623159555288,,7112.737897821187,7252.447587114606,30.82304635558074,22.164772115655516,16.340122106791874,,6880.223667912609,,,70.12483627485017,6.875409377655142,98.38655617517104,95.23261344084068
2019-04-15,7351.0498046875,7389.9501953125,7295.0,7352.5,7028.32958984375,585205,90.03379726960641,,7042.607759915865,,7156.331007308244,7306.306024492269,31.00372407205979,21.1328878962222,18.9326383191962,,6894.44357007607,,,86.23557717351923,22.747442936827962,95.88436867144814,96.00863488954634
2019-04-16,7369.89990234375,7475.0,7350.0,7458.5498046875,7129.7041015625,707823,90.43034351957797,,7114.957744891827,,7211.279879559017,7378.944880005671,33.296893718249976,19.82431804599294,25.361950951061946,,6913.4460798066875,,,106.3350243806126,39.46495922558489,98.31280048076924,97.52790844246282
2019-04-18,7533.10009765625,7539.35009765625,7434.0498046875,7447.4501953125,7119.09375,713163,95.4343609483649,,7180.434682992788,,7254.2199369687405,7426.533166123959,34.776242467198045,18.769976998569863,29.892428687446344,,6932.855925531006,,,119.98522045448226,55.56901147136436,91.14772325882083,95.11496413701273
2019-04-22,7422.0,7424.89990234375,7300.0,7321.25,6998.4580078125,479609,83.85323149079238,,7217.400052584135,,7266.4072211562425,7417.362186618469,32.194172820380395,24.126420307617295,14.324693801480079,,6942.325799144644,,,119.24521353068303,68.30425188322809,74.01559870365662,87.8253741477489
2019-04-23,7327.0,7388.89990234375,7006.0,7048.89990234375,6738.115234375,952628,59.47481297616053,,7229.6461838942305,,7226.860435917607,7318.012583373274,26.658732521799987,33.18005584690347,10.898154028322923,,6951.223116571181,,,95.58058249779788,73.75951800614206,34.940620577309836,66.7013141799291
2019-04-24,7065.0,7101.9501953125,6910.0,7016.7001953125,6707.3349609375,1063510,55.869273417533854,,7225.323129507212,,7188.649483080314,7231.965005949893,24.394364590714858,34.60987994000187,17.313187263958554,,6953.9110492134605,,,73.38204215332644,73.68402283557894,18.761199501207138,42.572472927391196
2019-04-25,7014.75,7144.9501953125,6865.0,6905.25,6600.798828125,3075510,41.70173065496884,,7209.3346604567305,,7137.122304338438,7130.403676806558,21.523009857016024,32.42816132612951,20.213002294415958,,6956.006882465046,,,46.26314690519848,68.19984764950286,5.96870974585629,19.89017660812442
2019-04-26,6805.0,6886.85009765625,6750.0,6842.85009765625,6541.14990234375,1999920,36.910889717397275,,7188.961576021635,,7083.618266759858,7034.345177124027,20.109350608871942,35.163429441451015,27.235971881409128,,6946.811821600231,,,19.51116386679041,58.46211089296037,11.762853761840518,12.164254336301317
2019-04-30,6700.0,6750.0,6630.0,6666.39990234375,6372.47998046875,1640025,31.664430436109527,,7153.342322716346,,7007.7603823205645,6905.380494440918,18.33165360436448,37.03885593832904,33.78549789132849,16.46496649471681,6932.242063191917,,,-15.746515505799835,43.620385613208335,4.002848016134462,7.24480384127709
2019-05-02,6550.0,6709.9501953125,6525.0,6683.25,6388.5869140625,1337101,31.385036734338996,,7112.319260817308,,6948.758494625917,6816.71886006513,16.931045715685624,38.546517195379536,38.96254692071674,18.071936525145375,6919.663976723009,,,-41.84643867122486,26.527020756321697,15.601122370437121,10.4556080494707
