Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA,13MA,30MA,EMA,DEMA,DX,ADX,VWAP,Upper_Band,Lower_Band,MACD,Signal_line,%K,%D
2019-01-31,1304.0,1321.699951171875,1296.550048828125,1314.300048828125,1212.20751953125,5852257,,,,,1314.300048828125,1314.300048828125,,,1310.8500162760417,,,0.0,0.0,,
2019-02-01,1315.5,1334.550048828125,1313.0,1324.5999755859375,1221.70751953125,2515736,,,,,1316.172762784091,1317.7049832935177,,,1314.8184343575206,,,0.8216465789707854,0.1643293157941571,,
2019-02-04,1326.8499755859375,1326.8499755859375,1302.5999755859375,1307.4000244140625,1205.8436279296875,2308931,,,,,1314.5777194440857,1314.5263189463396,,,1314.2702060351116,,,0.08394740543417356,0.1482529337221604,,
2019-02-05,1310.699951171875,1323.0,1300.0,1304.5999755859375,1203.2608642578125,1447400,,,,,1312.7635841971496,1311.2372367696826,,,1313.6649246194888,,,-0.7183444165941637,-0.025066536341104423,,
2019-02-06,1308.0,1322.0,1293.050048828125,1314.4000244140625,1212.2996826171875,2034886,,,,,1313.061118782043,1312.0557264563008,,,1313.1118770587314,,,-0.5569640923883981,-0.13144604755056316,,
2019-02-07,1314.0,1320.8499755859375,1289.199951171875,1296.050048828125,1195.3748779296875,1556295,,,,,1309.9681969722396,1306.6150308613387,,,1312.0147761464616,,,-1.8879950635571277,-0.4827558507518761,,
2019-02-08,1295.0,1298.9000244140625,1255.550048828125,1261.75,1163.7393798828125,2993525,,,,,1301.201252068196,1291.2847976014232,,,1305.6229112904857,,,-5.645496214567629,-1.5153039235150267,,
2019-02-11,1259.0,1259.0,1221.0,1246.5,1149.6741943359375,2981408,,,,,1291.2555698739786,1275.004730787714,,,1296.9006828425672,,,-9.741595450093428,-3.160562228830707,,
2019-02-12,1244.5,1264.9000244140625,1241.550048828125,1246.8499755859375,1149.9967041015625,1571390,,,,,1283.181825457971,1263.2798935015664,,,1293.8067424421838,,,-12.811856394717324,-5.090821062008031,,
2019-02-14,1219.0,1231.75,1201.0999755859375,1227.5999755859375,1132.241943359375,6974738,,,,,1273.0760345721465,1248.5242613375956,,,1276.8161690421211,,,-16.606939967916105,-7.394044843189645,,
2019-02-15,1244.0,1253.9000244140625,1230.9000244140625,1243.0999755859375,1146.5380859375,3620228,,,,,1267.6258420291992,1243.0787791203372,,,1273.1610790329826,,,-18.154575930189367,-9.54615106058959,,
2019-02-18,1245.0,1259.550048828125,1240.0,1244.5,1147.829345703125,2186849,,,,,1263.4211434784356,1239.8969750114693,,,1271.6355118907927,,,-19.048538614835024,-11.446628571438676,,
2019-02-19,1245.0,1270.0,1245.0,1258.300048828125,1160.5574951171875,2389086,,,1276.1500056340144,,1262.4900353601972,1242.4811726995752,,,1270.7733866673598,,,-18.43100077047825,-12.843503011246591,,
2019-02-20,1265.0,1282.6500244140625,1264.199951171875,1276.550048828125,1177.3896484375,2433082,,,1273.2461594801682,,1265.046401445275,1250.7670860652843,,,1270.9932788625188,,,-16.28129447338415,-13.531061303674104,56.53805307791732,
2019-02-21,1282.0,1291.5,1265.0999755859375,1284.0999755859375,1184.3533935546875,2392129,41.79794521778951,,1270.1307748647837,,1268.5106876526681,1259.662027420543,25.574733928050623,,1271.5042454810591,,,-13.80923647106738,-13.58669633715276,62.19554473332523,
2019-02-22,1282.0,1283.4000244140625,1265.5,1280.3499755859375,1180.89453125,2390188,37.53866911167267,,1268.0500018780049,,1270.6632854587172,1265.1846889282913,25.574733928050623,,1271.7614654522436,,,-12.014213973855476,-13.272199864493304,63.02186878727635,60.58515553283963
2019-02-25,1280.3499755859375,1286.449951171875,1264.0,1275.8499755859375,1176.7442626953125,5873730,40.43066849075752,,1265.8384634164663,,1271.6063200273024,1267.8954056948874,23.50383319378637,,1272.1800725825917,,,-10.829917556109876,-12.78374340281662,61.320742435697795,62.17938531876646
2019-02-26,1263.800048828125,1275.0,1253.0,1265.8499755859375,1167.5208740234375,2417931,38.73873804571246,,1262.1038442758413,,1270.5597119470542,1266.6671936094206,28.108742229825168,,1271.8410313359366,,,-10.576352926182608,-12.342265307489818,53.556647580352845,59.299752934442324
2019-02-27,1270.550048828125,1295.0,1268.0,1284.699951171875,1184.9066162109375,3555914,41.800077466692976,,1261.2307598407451,,1273.1306645333852,1272.0493834641377,14.60074905607223,,1272.5043744549039,,,-8.753461184470325,-11.624504482885921,69.81208817197286,61.563159396007826
2019-02-28,1293.0,1302.949951171875,1273.300048828125,1292.949951171875,1192.5157470703125,9321535,49.093587076321036,,1263.6307560847356,,1276.7341711949286,1278.7978103158982,9.65142931723465,,1274.907948686469,,,-6.567395447408217,-10.61308267579038,90.18163731265469,71.1834576883268
2019-03-01,1300.300048828125,1311.949951171875,1297.25,1308.550048828125,1206.904296875,2831577,65.36447764851673,,1268.403836763822,,1282.518876219146,1288.9402487015718,4.166766064718644,,1276.1686100865547,,,-3.535371533286934,-9.197540447289692,96.93287948348333,85.64220165603695
2019-03-05,1302.0,1310.4000244140625,1277.050048828125,1305.800048828125,1204.3677978515625,3948051,71.20874460136744,,1272.938457782452,,1286.7518166935058,1295.4689818399668,14.503354820042787,,1277.326330425839,,,-1.3389383067440122,-7.625820019180556,94.45204898671157,93.85552192761652
2019-03-06,1310.5,1327.550048828125,1310.5,1317.0,1214.697509765625,2776738,73.28232002213896,,1279.8153827373799,,1292.2514863855956,1303.8834421625918,4.224816922669818,,1278.817840861831,,,1.2906158908022007,-5.842532837184004,91.65674755449237,94.34722534156242
2019-03-07,1323.8499755859375,1357.300048828125,1310.0,1352.4000244140625,1247.3477783203125,6207580,87.4099512096035,,1288.2230788010818,,1303.187584208953,1321.6523553365153,10.743114057488514,,1283.409353390583,,,6.160033624009657,-3.442019544945272,96.12339915535858,94.07739856552085
2019-03-08,1350.0,1363.0,1337.0,1339.4000244140625,1235.3577880859375,4868283,79.30613655422077,,1295.5230806790864,,1309.7716642462456,1330.2661788356725,13.311848574768998,,1286.919733686735,,,8.867867647189087,-0.9800421065184004,80.8130279789126,89.53105822958786
2019-03-11,1343.550048828125,1351.0,1340.0,1346.550048828125,1241.952392578125,2661353,80.00586842584535,,1302.311542217548,,1316.4586432611327,1338.6980471192078,13.311848574769009,,1288.6601937597864,,,11.458704027186968,1.507707120222673,86.05936341366525,87.6652635159788
2019-03-12,1355.0,1403.0,1355.0,1388.9000244140625,1281.0125732421875,6631152,82.88012294126037,,1310.953848031851,,1329.6298034707563,1358.6020831625099,33.546542785918945,,1295.0787092144212,,,16.736323698973138,4.553430435972766,90.60001627604166,85.82413588953983
2019-03-13,1395.699951171875,1397.550048828125,1372.8499755859375,1378.5999755859375,1271.5128173828125,2241672,76.76376114466844,,1318.2230788010818,,1338.5334711280618,1369.522882595474,33.54654278591895,18.16921830280824,1297.069853284222,,,19.85882725383908,7.614509799546029,83.73331705729167,86.79756558233287
2019-03-14,1384.699951171875,1396.0,1377.0,1379.75,1272.5733642578125,1838850,75.95659307190144,,1325.8692345252405,,1346.0273854684142,1377.5137429474944,33.54654278591895,19.267598623030434,1298.6598874762776,,,22.170661590495683,10.52574015773596,84.5,86.27777777777777
2019-03-15,1386.0,1410.800048828125,1378.5999755859375,1396.5,1288.022216796875,5723980,79.44241285604053,,1335.1500056340144,1302.1250040690104,1355.2042244741572,1388.4741125071946,38.63808840213371,20.651205035823523,1303.8516699642219,1399.9752419512595,1204.2747661867613,25.065453032713776,13.433682732731524,90.93786793203053,86.39039499644075
