,Date,ADX
0,2019-02-21,50.24430395846711
1,2019-02-22,50.000794633395785
2,2019-02-25,47.8300320156983
3,2019-02-26,45.98256248428953
4,2019-02-27,43.299088256583865
5,2019-02-28,40.37415063657476
6,2019-03-01,37.55645742884082
7,2019-03-05,34.940028021659316
8,2019-03-06,32.781212714690376
9,2019-03-07,30.601341906018245
10,2019-03-08,28.97691129672313
11,2019-03-11,27.45487498286193
12,2019-03-12,26.55248889519054
13,2019-03-13,25.569781484359165
14,2019-03-14,24.444245431677132
15,2019-03-15,23.39910481132953
16,2019-03-18,23.51291632986133
17,2019-03-19,23.557717132861853
18,2019-03-20,23.921207019438732
19,2019-03-22,24.420265277407037
20,2019-03-25,24.883676516949034
21,2019-03-26,26.450152219696125
22,2019-03-27,28.06597197875973
23,2019-03-28,29.79064855138814
24,2019-04-01,31.733557217928773
25,2019-04-02,33.69661884224733
26,2019-04-03,35.58455863851332
27,2019-04-04,36.78119263570575
28,2019-04-05,38.206639955587306
29,2019-04-08,38.01394491448866
30,2019-04-09,36.924919073194076
31,2019-04-10,35.320728682273376
32,2019-04-11,33.50745116076402
33,2019-04-12,32.70020974259344
34,2019-04-15,32.52375889137785
35,2019-04-16,32.67017312921817
36,2019-04-18,32.97457267217534
37,2019-04-22,31.826619575828293
38,2019-04-23,29.565620340660768
39,2019-04-24,27.810111183693056
40,2019-04-25,26.355756874950917
41,2019-04-26,24.550037707579524
42,2019-04-30,23.137418936386958
43,2019-05-02,22.572814631010093
44,2019-05-03,22.048539204588717
45,2019-05-06,21.713623035976834
46,2019-05-07,22.24958540663362
47,2019-05-08,23.302497519647115
48,2019-05-09,24.256876031674036
49,2019-05-10,25.48647957125232
50,2019-05-13,26.538706666503867
51,2019-05-14,27.954537677061094
52,2019-05-15,29.173720491036512
53,2019-05-16,30.549181145364862
54,2019-05-17,30.943142605836208
55,2019-05-20,28.908347438794443
56,2019-05-21,27.207456460988162
57,2019-05-22,25.38574870165306
58,2019-05-23,23.644627258911616
59,2019-05-24,22.02787163350885
60,2019-05-27,20.906193896920566
61,2019-05-28,19.92023199469325
62,2019-05-29,19.886745261148008
63,2019-05-30,19.855650437141712
64,2019-05-31,20.80892460903241
65,2019-06-03,21.694107768645203
66,2019-06-04,21.93275230575713
67,2019-06-06,22.282164605037057
68,2019-06-07,22.34285477288884
69,2019-06-10,22.39920992875121
70,2019-06-11,22.620961139835916
71,2019-06-12,23.348807118508677
72,2019-06-13,24.02466409870481
73,2019-06-14,24.232061057963953
74,2019-06-17,23.68449175442172
75,2019-06-18,22.002517138708658
76,2019-06-19,20.572272517867937
77,2019-06-20,19.497712024184402
78,2019-06-21,18.499905851478264
79,2019-06-24,17.57337154825113
80,2019-06-25,16.53493783104967
81,2019-06-26,15.857819889112557
82,2019-06-27,15.100713925091416
83,2019-06-28,14.397686958500357
84,2019-07-01,14.3785970451879
85,2019-07-02,14.360870697112048
86,2019-07-03,14.681955913390198
87,2019-07-04,14.980106471362765
88,2019-07-05,14.600216634061155
89,2019-07-08,15.325158273875205
90,2019-07-09,16.275949906077905
91,2019-07-10,16.558890186827497
92,2019-07-11,17.16333730362584
93,2019-07-12,17.090338632789212
94,2019-07-15,17.301230859316217
95,2019-07-16,16.922882809296254
96,2019-07-17,15.898192007052357
97,2019-07-18,14.85448459663392
98,2019-07-19,14.328475255085909
99,2019-07-22,14.260698142409739
100,2019-07-23,13.370723370271708
101,2019-07-24,13.734585452052261
102,2019-07-25,14.742712931309812
103,2019-07-26,15.76545149063898
104,2019-07-29,17.086953021091915
105,2019-07-30,18.866000210565623
106,2019-07-31,20.24274578107691
107,2019-08-01,21.20967016223119
108,2019-08-02,22.32948266387003
109,2019-08-05,23.827367713848815
110,2019-08-06,26.064775743728738
111,2019-08-07,28.35029930178055
112,2019-08-08,30.573728909010875
113,2019-08-09,32.8527632840964
114,2019-08-13,35.18592706553851
115,2019-08-14,37.37247918620291
116,2019-08-16,39.534503704343486
117,2019-08-19,41.515425738807316
118,2019-08-20,43.42026397762868
119,2019-08-21,45.18904234224851
120,2019-08-22,44.98898612786125
121,2019-08-23,44.80321964307308
122,2019-08-26,44.72153421919262
123,2019-08-27,44.92329382292694
124,2019-08-28,44.809292259384804
125,2019-08-29,44.995344441826326
126,2019-08-30,45.336340289627685
127,2019-09-03,43.9798233030421
128,2019-09-04,41.60466049329441
129,2019-09-05,39.68264670986473
130,2019-09-06,37.68564713797605
131,2019-09-09,36.47149608779546
132,2019-09-11,35.613566431236734
133,2019-09-12,35.02521086039515
134,2019-09-13,33.87035091563744
135,2019-09-16,31.636694550097708
136,2019-09-17,29.56258506781082
137,2019-09-18,28.232913122965986
138,2019-09-19,26.71604799073761
139,2019-09-20,28.533151338950326
140,2019-09-23,31.50162966559693
141,2019-09-24,34.25807382605449
142,2019-09-25,36.387245888200155
143,2019-09-26,38.66667517054385
144,2019-09-27,40.8600191729794
145,2019-09-30,42.94356938401577
146,2019-10-01,43.91766136095373
147,2019-10-03,44.332681527615726
148,2019-10-04,44.873242511112835
149,2019-10-07,45.46105267068079
150,2019-10-09,46.54962191762344
151,2019-10-10,48.23093244762986
152,2019-10-11,49.96404150191595
153,2019-10-14,51.64410328876678
154,2019-10-15,53.204160662271114
155,2019-10-16,53.64272498631538
156,2019-10-17,54.32042142674735
157,2019-10-18,55.32977274685511
158,2019-10-22,55.11025293343233
159,2019-10-23,54.6920845391946
160,2019-10-24,54.404743724839115
161,2019-10-25,54.4039340773115
162,2019-10-27,54.40318226175014
163,2019-10-29,54.53286459775642
