Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,ADX
2019-01-14,232.3999938964844,232.5,229.0500030517578,230.8999938964844,142.72979736328125,2273231,0.0,0,
2019-01-15,231.5,233.6000061035156,231.0500030517578,232.6499938964844,143.81155395507812,2323323,0.0,0,
2019-01-16,232.8000030517578,233.3999938964844,231.5500030517578,232.0500030517578,143.44065856933594,2050899,0.0,0,
2019-01-17,232.75,232.75,230.3999938964844,232.0500030517578,143.44065856933594,3220136,0.0,0,
2019-01-18,232.1499938964844,232.5500030517578,229.6000061035156,230.0,142.17347717285156,2944908,0.0,0,
2019-01-21,230.4499969482422,231.25,228.1499938964844,229.0,141.55531311035156,1904575,0.0,0,
2019-01-22,228.4499969482422,230.3500061035156,225.8000030517578,227.75,140.78265380859375,4564028,0.0,0,
2019-01-23,227.8000030517578,228.0,225.25,225.5500030517578,139.42269897460938,2328748,0.0,0,
2019-01-24,225.6999969482422,226.25,223.0,223.8500061035156,138.37188720703125,2838220,0.0,0,
2019-01-25,224.25,226.1999969482422,220.1000061035156,220.9499969482422,136.57923889160156,3432012,0.0,0,
2019-01-28,221.25,227.5,218.0500030517578,225.1999969482422,139.20635986328125,3917992,0.0,0,
2019-01-29,225.3999938964844,225.8500061035156,221.1499938964844,222.5500030517578,137.5682830810547,3850399,0.0,0,
2019-01-30,222.0,228.0,220.5500030517578,225.1999969482422,139.20635986328125,7349253,0.0,0,
2019-01-31,226.5,227.5,223.0500030517578,224.6499938964844,138.86639404296875,15389786,0.0,0,
2019-02-01,224.3500061035156,226.6999969482422,222.75,223.1999969482422,137.9700927734375,2820146,0.0,0,
2019-02-04,223.3000030517578,224.1999969482422,220.0500030517578,222.1000061035156,137.29014587402344,3417620,0.0,0,
2019-02-05,222.0,223.3999938964844,215.6999969482422,216.3999938964844,133.7666778564453,5557034,0.0,0,
2019-02-06,216.5,220.6999969482422,216.3500061035156,219.9499969482422,135.96109008789062,3707342,0.0,0,
2019-02-07,220.8000030517578,224.6499938964844,220.1499938964844,224.1999969482422,138.5882110595703,3111207,0.0,0,
2019-02-08,223.8999938964844,225.6499938964844,217.6000061035156,218.6499938964844,135.15750122070312,2962142,0.0,0,
