Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,ADX
2019-01-14,247.53756713867188,248.32505798339844,233.51255798339844,234.4125518798828,229.43295288085935,9217761,0.0,0.0,
2019-01-15,239.25006103515625,249.22506713867188,236.2875518798828,247.35006713867188,242.0956573486328,20094388,0.0,0.0,
2019-01-16,248.85006713867188,254.85006713867188,246.78756713867188,252.41256713867188,247.0505828857422,13195050,0.0,0.0,
2019-01-17,252.75006103515625,253.95005798339844,248.70005798339844,251.5500640869141,246.20640563964844,7052243,0.0,0.0,
2019-01-18,252.00006103515625,260.62506103515625,250.0500640869141,259.612548828125,254.0976409912109,13455951,0.0,0.0,
2019-01-21,255.00006103515625,258.675048828125,249.90005493164065,253.35006713867188,247.9681854248047,20829125,0.0,0.0,
2019-01-22,252.60006713867188,262.2000732421875,252.00006103515625,259.87506103515625,254.35455322265625,8908963,0.0,0.0,
2019-01-23,261.4875793457031,266.8500671386719,261.00006103515625,263.6625671386719,258.0616149902344,13249898,0.0,0.0,
2019-01-24,262.6500549316406,264.75006103515625,259.87506103515625,263.81256103515625,258.2084350585937,5640726,0.0,0.0,
2019-01-25,261.18756103515625,268.7625732421875,261.00006103515625,265.0875549316406,259.4563293457031,6982068,0.0,0.0,
2019-01-28,265.7625732421875,272.0250549316406,265.68756103515625,266.3625793457031,260.7042236328125,9199940,0.0,0.0,
2019-01-29,267.00006103515625,270.6000671386719,264.7875671386719,269.5500793457031,264.56903076171875,6160130,0.75,0.0,
2019-01-30,269.25006103515625,275.7375793457031,268.50006103515625,272.43756103515625,267.4031677246094,9878580,0.0,0.0,
2019-01-31,274.50006103515625,278.5500793457031,272.4750671386719,276.9000549316406,271.7831726074219,10258758,0.0,0.0,
2019-02-01,277.5750732421875,279.3375549316406,272.62506103515625,278.6625671386719,273.5130920410156,4488804,0.0,0.0,
2019-02-04,277.50006103515625,281.0250549316406,276.0750732421875,278.43756103515625,273.2922668457031,4191628,0.0,0.0,
2019-02-05,277.50006103515625,279.1500549316406,274.3500671386719,276.3375549316406,271.2310485839844,3275200,0.0,0.0,
2019-02-06,276.8625793457031,281.2125549316406,276.56256103515625,279.1500549316406,273.9915466308594,2905680,0.0,0.0,
2019-02-07,279.00006103515625,280.87506103515625,277.2375793457031,280.2000732421875,275.0221862792969,2991240,0.0,0.0,
2019-02-08,278.62506103515625,281.1750793457031,276.5250549316406,279.5250549316406,274.3596496582031,1867904,0.0,0.0,
2019-02-11,278.1750793457031,283.0500793457031,277.2750549316406,279.7875671386719,274.6173400878906,3963703,0.0,0.0,
2019-02-12,280.6125793457031,282.18756103515625,276.2625732421875,281.25006103515625,276.0527648925781,3969660,0.0,0.0,
2019-02-14,282.3000793457031,283.8000793457031,280.4625549316406,281.3250732421875,276.1264038085937,4099801,0.0,0.0,
2019-02-15,281.43756103515625,283.0125732421875,277.6125793457031,282.0750732421875,276.862548828125,4696896,0.0,0.0,
2019-02-18,284.1000671386719,284.1000671386719,278.06256103515625,281.7000732421875,276.49444580078125,4640098,0.0,0.0,
2019-02-19,279.4125671386719,281.5500793457031,271.6500549316406,272.5875549316406,267.55035400390625,4085809,0.0,0.0,
2019-02-20,272.4000549316406,280.50006103515625,270.9000549316406,279.1500549316406,273.9915466308594,5880643,0.0,0.0,
2019-02-21,279.6000671386719,282.6000671386719,278.1000671386719,280.9125671386719,275.7215576171875,3430779,0.0,0.0,66.76217644873695
2019-02-22,281.25006103515625,285.00006103515625,280.12506103515625,284.06256103515625,278.8132629394531,4259550,0.0,0.0,64.61675518490591
2019-02-25,285.6000671386719,290.02508544921875,284.43756103515625,289.0500793457031,283.70867919921875,6237958,0.0,0.0,63.27434486448153
2019-02-26,288.37506103515625,291.71258544921875,285.93756103515625,290.7375793457031,285.364990234375,5070048,0.0,0.0,62.21908177579743
2019-02-27,285.18756103515625,287.8875732421875,279.3000793457031,280.8000793457031,275.611083984375,10678686,0.0,0.0,59.4029527789728
2019-02-28,281.1750793457031,282.5250549316406,274.9500732421875,276.6750793457031,271.56231689453125,12571016,0.0,0.0,55.83301691426768
2019-03-01,278.1750793457031,283.7625732421875,274.12506103515625,281.7750549316406,276.56805419921875,9381886,0.0,0.0,52.72691955753013
2019-03-05,280.50006103515625,280.9875793457031,271.50006103515625,272.7000732421875,267.6607666015625,18021315,0.0,0.0,49.29158182799192
2019-03-06,274.3999938964844,285.8999938964844,273.1000061035156,277.45001220703125,272.32293701171875,21507060,0.0,1.3333333333333333,46.92980726888657
2019-03-07,280.0,280.29998779296875,267.5,268.8500061035156,263.8818664550781,8100134,0.0,0.0,43.6585500965258
2019-03-08,261.1000061035156,262.25,256.54998779296875,257.70001220703125,252.93792724609372,27344869,0.0,0.0,42.01050371115559
2019-03-11,259.0,260.8999938964844,257.45001220703125,259.75,254.95001220703125,7354227,0.0,0.0,40.4801749247404
2019-03-12,261.0,263.3500061035156,260.1499938964844,261.3500061035156,256.5204772949219,6290354,0.0,0.0,38.60450982325339
2019-03-13,262.5,265.6000061035156,256.20001220703125,257.8999938964844,253.1341857910156,7219723,0.0,0.0,37.37720490026715
2019-03-14,259.3500061035156,259.70001220703125,255.0,256.8500061035156,252.1036376953125,4489473,0.0,0.0,36.387606648551795
2019-03-15,258.0,264.25,257.20001220703125,263.45001220703125,258.5816345214844,8720097,0.0,0.0,34.600379874179325
2019-03-18,264.75,264.75,256.04998779296875,257.6000061035156,252.8397521972656,5748614,0.0,0.0,33.10598118518712
2019-03-19,257.79998779296875,258.8999938964844,255.1000061035156,257.45001220703125,252.6925201416016,5051847,0.0,0.0,31.85817977296026
2019-03-20,258.3999938964844,263.0,258.3999938964844,261.54998779296875,256.7167358398437,6114562,0.0,0.0,29.911772567727606
2019-03-22,262.45001220703125,263.75,258.5,260.54998779296875,255.73524475097656,3198029,0.0,0.0,27.966601000218525
2019-03-25,262.0,262.0,256.0,256.5,251.7600860595703,3373962,0.0,0.0,26.591980401454375
