Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2019-01-14,1850.0,1851.0,1810.0,1813.25,1626.8663330078125,3615370,0.0,0
2019-01-15,1810.0,1869.3499755859375,1808.0,1867.800048828125,1675.8094482421875,7711653,0.0,0
2019-01-16,1870.0,1875.0,1847.0,1870.1500244140625,1677.9173583984375,2359280,0.0,0
2019-01-17,1878.0,1898.0,1871.300048828125,1894.300048828125,1703.2281494140625,2625816,4.0,0
2019-01-18,1881.0,1904.199951171875,1876.0,1900.6500244140625,1708.937744140625,1683728,0.0,0
2019-01-21,1902.0,1932.0,1895.449951171875,1908.699951171875,1716.1756591796875,2409803,0.0,0
2019-01-22,1907.0999755859375,1918.25,1890.0,1901.9000244140625,1710.0614013671875,2457093,0.0,0
2019-01-23,1901.0,1906.0999755859375,1870.0,1875.5999755859375,1686.41455078125,2578169,0.0,0
2019-01-24,1884.800048828125,1905.25,1875.0,1901.550048828125,1709.746826171875,1962927,0.0,0
2019-01-25,1902.0,1935.0,1901.0,1920.800048828125,1727.0552978515625,2327080,0.0,0
2019-01-28,1933.0,1962.0,1925.5,1955.0,1757.8055419921875,2769033,0.0,0
2019-01-29,1962.0,1989.050048828125,1936.6500244140625,1982.75,1782.7567138671875,2557626,0.0,0
2019-01-30,1979.5999755859375,1989.5,1954.6500244140625,1981.4000244140625,1781.542724609375,2429575,0.0,0
2019-01-31,1987.0,2019.75,1985.0,2014.0999755859375,1810.9443359375,4094319,0.0,0
2019-02-01,2009.5,2034.75,1998.0999755859375,2029.949951171875,1825.1956787109375,3064163,0.0,0
2019-02-04,2029.949951171875,2055.449951171875,2023.0,2050.25,1843.447998046875,1590764,0.0,0
2019-02-05,2050.0,2055.0,2028.0,2044.550048828125,1838.32275390625,1111404,0.0,0
2019-02-06,2049.89990234375,2086.85009765625,2041.050048828125,2074.800048828125,1865.5218505859375,1789812,0.0,0
2019-02-07,2074.75,2097.949951171875,2067.0,2082.89990234375,1872.8046875,1339945,0.0,0
2019-02-08,2075.0,2089.5,2051.0,2061.39990234375,1853.4730224609375,1684474,0.0,0
2019-02-11,2060.0,2096.0,2048.89990234375,2065.89990234375,1857.519287109375,1778730,0.0,0
2019-02-12,2070.0,2070.0,2018.0,2051.60009765625,1844.6622314453125,2422903,0.0,0
2019-02-14,2060.050048828125,2075.0,2033.050048828125,2044.5999755859375,1838.3677978515625,1724085,0.0,0
2019-02-15,2049.0,2052.0,2010.949951171875,2029.699951171875,1824.9705810546875,1930065,0.0,0
2019-02-18,2037.5999755859375,2041.949951171875,1962.6500244140625,1970.300048828125,1771.5623779296875,2942184,0.0,0
2019-02-19,1970.0,1971.0,1892.0,1904.800048828125,1712.6690673828125,4408554,0.0,0
2019-02-20,1915.0,1933.800048828125,1881.300048828125,1914.75,1721.615478515625,4645778,0.0,0
2019-02-21,1914.75,1940.0,1897.050048828125,1914.199951171875,1721.1207275390625,4683919,0.0,0
2019-02-22,1917.199951171875,1930.0,1905.0999755859375,1925.6500244140625,1731.416259765625,2271955,0.0,0
2019-02-25,1932.5,1990.0,1930.5,1985.1500244140625,1784.91455078125,2934880,0.0,0
2019-02-26,1984.0,2045.1500244140625,1972.25,2038.699951171875,1833.06298828125,6453309,0.0,0
2019-02-27,2040.0,2074.949951171875,2022.0,2058.10009765625,1850.50634765625,4732082,0.0,0
2019-02-28,2060.0,2071.35009765625,1977.5999755859375,1983.449951171875,1783.385986328125,8454295,0.0,0
2019-03-01,1995.050048828125,2005.0,1980.3499755859375,1995.4000244140625,1794.1307373046875,4148548,0.0,0
2019-03-05,2005.0,2007.0,1976.5999755859375,1988.0999755859375,1787.5667724609375,2449622,0.0,0
2019-03-06,1989.300048828125,2015.0,1985.050048828125,1999.5999755859375,1797.9072265625,2635047,0.0,0
2019-03-07,2005.0,2024.050048828125,2000.199951171875,2013.300048828125,1810.225341796875,2539884,0.0,0
2019-03-08,2025.0,2033.0,2010.050048828125,2022.699951171875,1818.6767578125,2031071,0.0,0
2019-03-11,2028.9000244140625,2033.0,2003.6500244140625,2014.800048828125,1811.57373046875,3111689,0.0,0
2019-03-12,2014.050048828125,2024.800048828125,2003.0,2012.449951171875,1809.460693359375,2658550,0.0,0
2019-03-13,2013.0,2015.9000244140625,1978.5999755859375,2000.5,1798.71630859375,1833163,0.0,0
2019-03-14,2004.949951171875,2007.800048828125,1981.0,1987.4000244140625,1786.9373779296875,1905495,0.0,0
2019-03-15,1998.9000244140625,2068.949951171875,1991.0,2039.949951171875,1834.18701171875,5184318,0.0,0
2019-03-18,2043.0,2064.60009765625,2011.0,2022.800048828125,1818.7669677734375,2349915,0.0,0
2019-03-19,2030.0,2030.0,1995.0999755859375,2022.800048828125,1818.7669677734375,2373993,0.0,0
2019-03-20,2028.0,2044.800048828125,2000.0,2015.050048828125,1811.7987060546875,3091165,0.0,0
2019-03-22,2015.0,2016.0,1983.300048828125,2005.6500244140625,1803.3466796875,3148149,0.0,0
2019-03-25,2007.800048828125,2007.800048828125,1977.199951171875,1984.25,1784.1051025390625,2429205,0.0,0
2019-03-26,1984.0,1994.949951171875,1958.050048828125,1982.6500244140625,1782.66650390625,2316539,0.0,0
2019-03-27,1994.0,1998.0,1961.0,1967.9000244140625,1769.4044189453125,2266166,0.0,0
2019-03-28,1980.0,2014.5999755859375,1972.800048828125,2000.300048828125,1798.5362548828125,4054489,0.0,0
2019-04-01,2010.0,2039.949951171875,2008.25,2031.6500244140625,1826.7242431640625,2095740,0.0,0
2019-04-02,2037.0999755859375,2086.0,2037.0,2079.300048828125,1869.5677490234375,3719663,0.0,0
2019-04-03,2085.0,2089.60009765625,2058.10009765625,2079.300048828125,1869.5677490234375,2939886,0.0,0
2019-04-04,2078.14990234375,2079.699951171875,2007.4000244140625,2014.5,1811.3043212890625,4397518,0.0,0
2019-04-05,2028.6500244140625,2054.39990234375,2018.800048828125,2048.300048828125,1841.6947021484375,3152103,0.0,0
2019-04-08,2059.0,2075.0,2032.699951171875,2070.75,1861.8800048828125,2194294,0.0,0
2019-04-09,2070.0,2098.0,2057.64990234375,2091.5,1880.5374755859375,2690970,0.0,0
2019-04-10,2083.0,2085.5,2036.0,2040.25,1834.456787109375,3313062,0.0,0
2019-04-11,2045.0,2055.0,2013.6500244140625,2019.5,1815.7996826171875,3422442,0.0,0
2019-04-12,2038.0,2039.0,2007.0,2014.5,1811.3043212890625,3198471,0.0,0
2019-04-15,2070.0,2119.800048828125,2041.0,2113.300048828125,1900.1385498046875,9189201,0.0,0
2019-04-16,2120.0,2155.949951171875,2115.550048828125,2131.800048828125,1916.772216796875,5771952,0.0,0
2019-04-18,2149.89990234375,2155.0,2114.199951171875,2150.050048828125,1933.181396484375,3413728,0.0,0
2019-04-22,2148.0,2176.0,2145.60009765625,2161.449951171875,1943.431640625,2007135,0.0,0
2019-04-23,2163.0,2165.5,2134.050048828125,2155.050048828125,1937.6767578125,2163524,0.0,0
2019-04-24,2158.0,2195.0,2156.10009765625,2183.449951171875,1963.2130126953125,3003071,0.0,0
2019-04-25,2175.0,2205.0,2168.050048828125,2195.0,1973.59765625,4211526,0.0,0
2019-04-26,2203.0,2243.949951171875,2193.14990234375,2238.550048828125,2012.755126953125,2716958,0.0,0
2019-04-30,2238.550048828125,2266.949951171875,2230.10009765625,2260.35009765625,2032.35595703125,3488395,0.0,0
2019-05-02,2255.0,2259.39990234375,2211.10009765625,2215.39990234375,1991.93994140625,2457699,0.0,0
2019-05-03,2185.0,2186.050048828125,2125.0,2132.0,1916.952392578125,3780886,0.0,0
2019-05-06,2110.0,2165.0,2108.5,2157.85009765625,1940.195068359375,2891422,0.0,0
2019-05-07,2160.050048828125,2184.35009765625,2138.800048828125,2151.949951171875,1934.889404296875,2201698,0.0,0
2019-05-08,2151.0,2168.0,2130.39990234375,2152.85009765625,1935.69921875,1824895,0.0,0
2019-05-09,2145.0,2184.10009765625,2136.10009765625,2172.550048828125,1953.4122314453125,2264162,0.0,0
