Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-07-14,387.5249938964844,413.4750061035156,387.5249938964844,395.54998779296875,394.47052001953125,1570018,0.0,0.0
2021-07-15,395.07501220703125,419.5,386.0,414.7250061035156,413.59320068359375,2022148,0.0,0.0
2021-07-16,418.54998779296875,436.25,412.625,426.29998779296875,425.1365966796875,1764134,0.0,0.0
2021-07-19,412.0,423.8500061035156,410.5,415.8999938964844,414.7649841308594,1110652,0.0,0.0
2021-07-20,415.75,417.7749938964844,394.0,396.6000061035156,395.5176696777344,769106,0.0,0.0
2021-07-22,402.95001220703125,433.5,400.9750061035156,428.125,426.9566345214844,1395546,0.0,0.0
2021-07-23,424.5,426.9750061035156,415.54998779296875,422.42498779296875,421.27215576171875,716396,0.0,0.0
2021-07-26,420.9750061035156,427.3999938964844,416.1000061035156,421.7250061035156,420.5740966796875,580478,0.0,0.0
2021-07-27,423.8500061035156,442.5,417.9750061035156,438.5,437.3033142089844,1263070,0.0,0.0
2021-07-28,439.5,439.5,408.0249938964844,426.57501220703125,425.4108581542969,820236,0.0,0.0
2021-07-29,430.0,442.67498779296875,425.5,427.8999938964844,426.73223876953125,449450,0.0,0.0
2021-07-30,428.0,432.5,420.7250061035156,426.8999938964844,425.7349548339844,350354,0.0,0.0
2021-08-02,430.0,464.04998779296875,426.3999938964844,459.42498779296875,458.17120361328125,3402276,0.0,0.0
2021-08-03,462.5,472.45001220703125,456.79998779296875,460.7250061035156,459.4676513671875,841332,0.0,0.0
2021-08-04,460.45001220703125,464.7250061035156,438.0,441.5,440.2951354980469,403084,0.0,0.0
2021-08-05,442.3500061035156,443.2749938964844,417.6000061035156,434.0,432.8155822753906,463746,0.0,0.0
2021-08-06,437.0,442.45001220703125,431.0,437.04998779296875,435.8572692871094,514600,0.0,0.0
2021-08-09,439.57501220703125,442.3500061035156,425.1499938964844,429.2250061035156,428.05364990234375,526400,0.0,0.0
2021-08-10,427.70001220703125,433.25,393.5,402.2749938964844,401.17718505859375,659950,0.0,0.0
2021-08-11,405.1499938964844,422.95001220703125,380.67498779296875,417.8500061035156,416.7096862792969,1117712,0.0,0.0
2021-08-12,420.0,434.95001220703125,412.7250061035156,426.07501220703125,424.9122314453125,789418,0.0,0.0
2021-08-13,428.75,438.70001220703125,419.7250061035156,435.79998779296875,434.61065673828125,520180,0.0,0.0
2021-08-16,435.0,441.5,427.5,435.0249938964844,433.8377685546875,242652,0.0,0.0
2021-08-17,435.0249938964844,435.0249938964844,421.17498779296875,425.42498779296875,424.26397705078125,139248,0.0,0.0
2021-08-18,424.92498779296875,438.5,418.8500061035156,430.67498779296875,429.4996643066406,480416,0.0,0.0
2021-08-20,423.0249938964844,441.125,422.5,426.42498779296875,425.2612609863281,465826,0.0,0.0
2021-08-23,426.5,434.8500061035156,400.5,404.79998779296875,403.69525146484375,303248,0.0,0.0
2021-08-24,403.9750061035156,423.04998779296875,403.0249938964844,419.8500061035156,418.7042236328125,225588,0.0,0.0
2021-08-25,424.4750061035156,429.5,422.07501220703125,425.67498779296875,424.5133056640625,424412,0.0,0.0
2021-08-26,426.8999938964844,440.0,423.92498779296875,433.32501220703125,432.1424560546875,368752,0.0,0.0
2021-08-27,435.9750061035156,453.4750061035156,435.9750061035156,445.6499938964844,444.43377685546875,620758,0.0,0.0
2021-08-30,445.0,473.6499938964844,445.0,466.8999938964844,465.62579345703125,706930,0.0,0.0
2021-08-31,469.3999938964844,486.625,461.125,479.25,477.9421081542969,800842,0.0,0.0
2021-09-01,484.45001220703125,512.5,482.5,497.20001220703125,495.8431396484375,2093950,0.0,0.0
2021-09-02,494.92498779296875,525.0,493.1499938964844,519.0,517.5836181640625,1464952,0.0,0.0
2021-09-03,524.5,550.0,521.0,544.2750244140625,542.7896728515625,2532386,0.0,0.0
2021-09-06,544.75,551.0,523.2000122070312,544.5750122070312,543.0888061523438,1292892,0.0,0.0
2021-09-07,542.0,542.5,508.0,514.0499877929688,512.6470947265625,703248,0.0,0.0
2021-09-08,520.0,528.0,512.75,526.2249755859375,524.7888793945312,606406,0.0,0.0
2021-09-09,522.5,530.0999755859375,513.0499877929688,517.9249877929688,516.5115356445312,688002,0.0,0.0
2021-09-13,521.9749755859375,536.7000122070312,520.2000122070312,531.375,529.9248657226562,343822,0.0,0.0
2021-09-14,534.9500122070312,534.9500122070312,522.5,524.2999877929688,522.869140625,266326,0.0,0.0
2021-09-15,525.0,529.0,504.0,510.82501220703125,509.4309387207031,290150,0.0,0.0
2021-09-16,515.9500122070312,519.9500122070312,499.5,507.45001220703125,506.065185546875,414828,0.0,0.0
2021-09-17,502.5,521.3499755859375,495.0,502.6499938964844,501.2782287597656,936826,0.0,0.0
2021-09-20,498.0249938964844,512.0,485.5249938964844,491.375,490.0340270996094,430956,0.0,0.0
2021-09-21,486.54998779296875,512.5,468.07501220703125,509.07501220703125,507.68572998046875,677092,0.0,0.0
2021-09-22,514.3499755859375,537.25,508.125,527.4000244140625,525.9607543945312,1049552,0.0,0.0
2021-09-23,537.0,576.0,528.2750244140625,553.2249755859375,551.7152099609375,3459764,0.0,0.0
2021-09-24,557.8499755859375,561.0,516.5,531.0,529.5508422851562,1250308,0.0,0.0
2021-09-27,535.5,553.5,529.0,550.9500122070312,549.4464721679688,753626,0.0,0.0
2021-09-28,551.9749755859375,551.9749755859375,521.5,526.5750122070312,525.1380004882812,427030,0.0,0.0
2021-09-29,524.0,542.0,520.0,534.7999877929688,533.3405151367188,456410,0.0,0.0
2021-09-30,537.4500122070312,539.5,526.2750244140625,528.75,527.3070068359375,280948,0.0,0.0
2021-10-01,530.5,537.0,525.2750244140625,527.5750122070312,526.13525390625,303420,0.0,0.0
2021-10-04,543.9000244140625,549.9000244140625,525.2750244140625,529.5499877929688,528.1047973632812,706526,0.0,0.0
2021-10-05,530.0,549.8499755859375,519.0,541.1749877929688,539.6980590820312,2286168,0.0,0.0
2021-10-06,547.5750122070312,550.0,525.0,526.3499755859375,524.91357421875,646294,0.0,0.0
2021-10-07,547.5,572.5,536.3250122070312,561.5250244140625,559.9926147460938,2913302,0.0,0.0
2021-10-08,572.0,591.0750122070312,557.7999877929688,581.8499755859375,580.2620849609375,1872180,0.0,0.0
2021-10-11,590.0,605.0,585.0,594.875,593.2515869140625,815064,0.0,0.0
2021-10-12,597.0999755859375,601.0,581.4000244140625,596.7999877929688,595.1712646484375,1093142,0.0,0.0
2021-10-13,593.5,597.5,583.5999755859375,590.2999877929688,588.6890258789062,464342,0.0,0.0
2021-10-14,594.9000244140625,612.5,589.2999877929688,598.5499877929688,596.91650390625,601920,0.0,0.0
2021-10-18,602.4000244140625,608.6500244140625,588.0250244140625,592.0499877929688,590.4342651367188,295274,0.0,0.0
2021-10-19,597.5,601.5,545.5999755859375,553.0250244140625,551.5158081054688,619186,0.0,0.0
2021-10-20,556.5499877929688,566.5,515.5250244140625,525.9000244140625,524.46484375,685170,0.0,0.0
2021-10-21,529.5,544.9749755859375,500.5,513.5750122070312,512.1734619140625,818354,0.0,0.0
2021-10-22,529.5,541.5,515.125,526.125,524.689208984375,1183770,0.0,0.0
2021-10-25,528.4500122070312,530.0,475.0,483.5249938964844,482.2054138183594,929288,0.0,0.0
2021-10-26,480.0,535.0,477.5249938964844,529.3250122070312,527.8804321289062,1214192,0.0,0.0
2021-10-27,531.5,553.7750244140625,524.4249877929688,535.4749755859375,534.013671875,737406,0.0,0.0
2021-10-28,538.75,540.5999755859375,517.5,523.3250122070312,521.8968505859375,282240,0.0,0.0
2021-10-29,522.5,548.7750244140625,505.1000061035156,532.0999755859375,530.6478271484375,841916,0.0,0.0
2021-11-01,524.9000244140625,579.9000244140625,523.25,575.0250244140625,573.4557495117188,1199966,0.0,0.0
2021-11-02,574.0,595.0,561.5,589.0499877929688,587.4424438476562,647448,0.0,0.0
2021-11-03,590.875,599.2999877929688,550.1749877929688,590.9500122070312,589.3372802734375,546436,0.0,0.0
2021-11-04,596.9000244140625,596.9000244140625,577.0999755859375,584.9749755859375,583.3786010742188,138674,0.0,0.0
2021-11-08,585.0,588.4749755859375,571.5,576.625,575.0513916015625,214294,0.0,0.0
2021-11-09,582.9000244140625,610.0,580.3250122070312,591.8499755859375,590.2348022460938,922452,0.0,0.0
2021-11-10,589.0,620.0,582.9249877929688,616.7999877929688,615.11669921875,847110,0.0,0.0
2021-11-11,626.5,633.0,607.5,618.1749877929688,616.4879760742188,1290202,0.0,0.0
2021-11-12,617.5,637.5,609.0750122070312,626.7999877929688,625.0894165039062,826108,0.0,0.0
2021-11-15,637.0,653.3499755859375,628.9249877929688,642.2999877929688,640.547119140625,971626,0.0,0.0
2021-11-16,645.0,729.3250122070312,642.5,708.2249755859375,706.292236328125,4838454,0.0,0.0
2021-11-17,704.9500122070312,731.0,696.2999877929688,714.4000244140625,712.450439453125,1156958,0.0,0.0
2021-11-18,699.0,700.0,674.5,688.3250122070312,686.446533203125,1148046,0.0,0.0
2021-11-22,696.9500122070312,740.9000244140625,680.0,687.5250244140625,685.6487426757812,1063008,0.0,0.0
2021-11-23,688.4500122070312,690.3250122070312,666.0499877929688,678.8250122070312,676.9724731445312,546854,0.0,0.0
2021-11-24,682.2249755859375,698.625,675.0,695.5499877929688,693.6517944335938,1670310,0.0,0.0
2021-11-25,702.9000244140625,720.4500122070312,695.5750122070312,707.125,705.1952514648438,488030,0.0,0.0
2021-11-26,704.0,704.0,665.5,679.7249755859375,677.8699340820312,486842,0.0,0.0
2021-11-29,656.5499877929688,740.0,582.0,702.9000244140625,700.9818115234375,532176,0.0,0.0
2021-11-30,720.0,759.0,677.5,708.9000244140625,706.9653930664062,1579478,0.0,0.0
2021-12-01,707.1500244140625,769.5,695.8250122070312,745.2000122070312,743.1663818359375,1657866,0.0,0.0
2021-12-02,753.7249755859375,753.7249755859375,712.5,717.25,715.2926025390625,733008,0.0,0.0
2021-12-03,724.2999877929688,732.0,702.4249877929688,714.6749877929688,712.724609375,357996,0.0,0.0
2021-12-06,718.8499755859375,727.4749755859375,706.9500122070312,716.3499755859375,714.39501953125,428438,0.0,0.0
2021-12-07,725.0,730.7249755859375,713.0,715.0,713.0487670898438,358724,0.0,0.0
2021-12-08,720.0,734.5,712.5,720.5750122070312,718.6085205078125,499964,0.0,0.0
