,ADX
2023-02-06,35.9338
2023-02-03,36.7282
2023-02-02,35.5622
2023-02-01,31.9865
2023-01-31,28.0135
2023-01-30,24.7281
2023-01-27,21.0777
2023-01-25,17.2356
2023-01-24,14.9455
2023-01-23,14.2370
2023-01-20,15.1900
2023-01-19,16.6601
2023-01-18,18.2935
2023-01-17,17.8506
2023-01-16,16.6202
2023-01-13,15.8020
2023-01-12,16.2453
2023-01-11,16.9194
2023-01-10,16.8611
2023-01-09,16.7773
2023-01-06,17.2102
2023-01-05,19.0537
2023-01-04,20.4431
2023-01-03,18.9933
2023-01-02,17.8815
2022-12-30,19.6452
2022-12-29,21.7764
2022-12-28,23.8849
2022-12-27,25.9262
2022-12-26,27.9663
2022-12-23,30.9178
2022-12-22,31.8657
2022-12-21,34.1396
2022-12-20,36.7221
2022-12-19,36.4936
2022-12-16,36.8838
2022-12-15,37.7158
2022-12-14,37.6359
2022-12-13,36.0774
2022-12-12,34.4302
2022-12-09,33.3220
2022-12-08,30.6105
2022-12-07,27.6965
2022-12-06,26.8904
2022-12-05,27.9833
2022-12-02,28.7044
2022-12-01,29.5057
2022-11-30,28.3386
2022-11-29,27.3894
2022-11-28,25.0042
2022-11-25,22.5717
2022-11-24,20.6644
2022-11-23,19.9077
2022-11-22,19.5063
2022-11-21,19.1924
2022-11-18,19.6636
2022-11-17,20.9657
2022-11-16,23.0818
2022-11-15,25.4331
2022-11-14,28.2419
2022-11-11,30.5824
2022-11-10,33.1830
2022-11-09,36.0725
2022-11-07,37.6936
2022-11-04,39.6782
2022-11-03,42.4050
2022-11-02,45.4348
2022-11-01,47.9669
2022-10-31,49.9545
2022-10-28,47.4098
2022-10-27,44.5823
2022-10-25,41.0333
2022-10-21,37.2801
2022-10-20,33.2276
2022-10-19,31.4859
2022-10-18,29.4927
2022-10-17,28.3435
2022-10-14,27.5381
2022-10-13,26.6432
2022-10-12,26.0785
2022-10-11,25.7678
2022-10-10,26.6235
2022-10-07,29.1737
2022-10-06,30.3321
2022-10-04,32.0045
2022-10-03,31.4655
2022-09-30,30.4074
2022-09-29,28.5363
2022-09-28,26.0363
2022-09-27,23.2585
2022-09-26,21.4731
2022-09-23,20.1139
2022-09-22,20.4282
2022-09-21,22.4610
2022-09-20,21.6410
2022-09-19,20.7299
2022-09-16,21.1182
2022-09-15,22.6964
2022-09-14,22.6324
2022-09-13,22.2207
2022-09-12,19.5860
2022-09-09,16.9402
2022-09-08,15.5515
2022-09-07,14.5332
2022-09-06,15.5765
2022-09-05,16.0954
2022-09-02,17.1755
2022-09-01,19.0464
2022-08-30,21.1252
2022-08-29,22.9920
2022-08-26,23.0200
2022-08-25,24.9671
2022-08-24,27.1305
2022-08-23,29.6323
2022-08-22,32.1599
2022-08-19,35.6556
2022-08-18,37.5764
2022-08-17,36.9868
2022-08-16,35.2612
2022-08-12,33.4693
2022-08-11,32.3485
2022-08-10,31.2278
2022-08-08,31.2819
2022-08-05,31.3920
2022-08-04,33.6109
2022-08-03,36.0764
2022-08-02,35.6453
2022-08-01,35.6357
2022-07-29,35.8503
2022-07-28,35.6014
2022-07-27,35.4167
2022-07-26,36.4484
2022-07-25,37.5947
2022-07-22,34.8725
2022-07-21,32.0574
2022-07-20,30.0559
2022-07-19,28.1027
2022-07-18,26.8550
2022-07-15,27.2863
2022-07-14,30.0002
2022-07-13,31.5381
2022-07-12,30.0661
2022-07-11,28.4306
2022-07-08,26.9869
2022-07-07,26.0285
2022-07-06,26.7454
2022-07-05,28.7400
2022-07-04,30.9561
2022-07-01,34.2792
2022-06-30,36.3099
2022-06-29,36.6956
2022-06-28,36.5935
2022-06-27,37.5108
2022-06-24,39.1090
2022-06-23,40.0192
2022-06-22,40.6917
2022-06-21,39.7088
2022-06-20,39.2875
2022-06-17,36.7422
2022-06-16,34.2538
2022-06-15,31.7789
2022-06-14,30.5183
2022-06-13,29.0906
2022-06-10,26.5787
2022-06-09,24.9381
2022-06-08,22.9640
2022-06-07,21.3193
2022-06-06,20.0905
2022-06-03,19.8855
2022-06-02,19.9400
2022-06-01,21.3289
2022-05-31,22.7895
2022-05-30,24.8226
2022-05-27,27.1937
2022-05-26,30.0502
2022-05-25,32.1239
2022-05-24,34.0549
2022-05-23,36.3572
2022-05-20,39.5501
2022-05-19,42.0931
2022-05-18,42.5936
2022-05-17,43.7955
2022-05-16,43.2092
2022-05-13,41.2234
2022-05-12,39.1214
2022-05-11,37.1991
2022-05-10,35.5532
2022-05-09,33.1130
2022-05-06,29.9681
2022-05-05,27.1145
2022-05-04,25.3036
2022-05-02,23.5514
2022-04-29,22.4591
2022-04-28,21.5674
2022-04-27,23.8419
2022-04-26,24.9290
2022-04-25,27.0328
2022-04-22,29.7447
2022-04-21,31.1786
2022-04-20,30.7398
2022-04-19,30.4212
2022-04-18,30.0672
2022-04-13,30.8422
2022-04-12,29.3186
2022-04-11,28.2270
2022-04-08,27.5414
2022-04-07,25.9415
2022-04-06,24.5310
2022-04-05,24.0535
2022-04-04,22.3425
2022-04-01,21.1625
2022-03-31,20.5883
2022-03-30,20.9331
2022-03-29,21.3163
2022-03-28,23.3899
2022-03-25,25.2282
2022-03-24,26.0544
2022-03-23,27.2302
2022-03-22,29.0063
2022-03-21,30.3667
2022-03-17,33.1832
2022-03-16,36.4776
2022-03-15,39.0645
2022-03-14,41.1423
2022-03-11,42.8825
2022-03-10,44.2514
2022-03-09,45.8290
2022-03-08,43.2955
2022-03-07,39.4671
2022-03-04,35.5451
2022-03-03,32.7242
2022-03-02,30.6935
2022-02-28,27.9703
2022-02-25,25.4871
2022-02-24,22.8832
2022-02-23,19.9901
2022-02-22,20.1141
2022-02-21,20.2519
2022-02-18,22.2090
2022-02-17,23.5125
2022-02-16,25.3205
2022-02-15,28.0015
2022-02-14,30.1588
2022-02-11,33.1477
2022-02-10,33.4354
2022-02-09,32.9225
2022-02-08,32.8505
2022-02-07,33.4828
2022-02-04,32.8840
2022-02-03,31.2130
2022-02-02,28.9663
2022-02-01,26.7599
2022-01-31,24.9520
2022-01-28,23.8893
2022-01-27,22.7086
2022-01-25,21.7993
2022-01-24,22.3486
2022-01-21,22.5446
2022-01-20,25.0300
2022-01-19,25.6462
2022-01-18,26.9333
2022-01-17,28.3634
2022-01-14,31.1724
2022-01-13,34.0562
2022-01-12,33.5247
2022-01-11,31.5814
2022-01-10,29.7381
2022-01-07,27.9148
2022-01-06,26.1182
2022-01-05,24.7126
2022-01-04,23.3308
2022-01-03,23.5483
2021-12-31,25.3111
2021-12-30,27.3094
2021-12-29,27.0274
2021-12-28,27.0085
2021-12-27,27.5300
2021-12-24,26.9462
2021-12-23,26.9368
2021-12-22,28.0007
2021-12-21,27.8379
2021-12-20,27.6570
2021-12-17,27.3316
2021-12-16,29.4079
2021-12-15,30.5687
2021-12-14,31.3970
2021-12-13,33.0584
2021-12-10,35.1445
2021-12-09,37.8929
2021-12-08,41.5365
2021-12-07,45.5849
2021-12-06,48.5715
2021-12-03,49.7218
2021-12-02,51.8961
2021-12-01,52.5664
2021-11-30,53.3112
2021-11-29,53.3654
2021-11-26,50.9138
2021-11-25,48.5475
2021-11-24,46.6118
2021-11-23,44.7133
2021-11-22,42.0466
2021-11-18,39.0930
2021-11-17,36.9064
2021-11-16,34.7424
2021-11-15,33.2907
2021-11-12,32.1448
2021-11-11,31.3034
2021-11-10,30.4930
2021-11-09,29.5927
2021-11-08,29.3047
2021-11-03,28.9847
2021-11-02,29.0967
2021-11-01,29.0241
2021-10-29,28.6016
2021-10-28,28.1321
2021-10-27,29.9173
2021-10-26,31.8425
2021-10-25,28.4523
2021-10-22,24.4090
2021-10-21,22.4809
2021-10-20,21.6595
2021-10-19,20.7468
2021-10-18,18.4025
2021-10-14,16.5977
2021-10-13,16.4962
2021-10-12,15.2767
2021-10-11,14.5372
2021-10-08,14.6608
2021-10-07,16.0488
2021-10-06,17.5910
2021-10-05,19.0539
2021-10-04,20.1050
2021-10-01,20.8027
2021-09-30,19.9922
