,ADX
2023-02-06,24.4522
2023-02-03,26.3848
2023-02-02,28.2874
2023-02-01,31.2552
2023-01-31,34.5529
2023-01-30,33.4751
2023-01-27,29.9838
2023-01-25,26.9809
2023-01-24,26.8418
2023-01-23,28.7334
2023-01-20,30.8351
2023-01-19,33.2295
2023-01-18,34.1593
2023-01-17,35.1924
2023-01-16,35.0883
2023-01-13,35.5910
2023-01-12,35.2985
2023-01-11,32.5460
2023-01-10,29.4877
2023-01-09,26.2263
2023-01-06,23.1386
2023-01-05,19.7077
2023-01-04,17.0266
2023-01-03,18.1214
2023-01-02,18.6254
2022-12-30,19.1854
2022-12-29,19.8077
2022-12-28,20.6439
2022-12-27,22.8962
2022-12-26,25.1346
2022-12-23,26.3564
2022-12-22,25.6964
2022-12-21,26.5412
2022-12-20,27.6505
2022-12-19,25.9325
2022-12-16,24.7418
2022-12-15,23.4187
2022-12-14,22.6321
2022-12-13,24.6272
2022-12-12,25.7570
2022-12-09,27.5015
2022-12-08,28.7260
2022-12-07,30.2858
2022-12-06,32.1866
2022-12-05,34.9162
2022-12-02,36.0057
2022-12-01,37.6591
2022-11-30,36.7778
2022-11-29,34.3047
2022-11-28,32.3274
2022-11-25,30.8456
2022-11-24,28.4854
2022-11-23,26.1462
2022-11-22,24.4878
2022-11-21,23.3060
2022-11-18,22.2316
2022-11-17,21.4000
2022-11-16,20.4308
2022-11-15,19.8184
2022-11-14,19.6684
2022-11-11,20.4465
2022-11-10,19.0048
2022-11-09,19.3897
2022-11-07,19.4666
2022-11-04,19.8421
2022-11-03,21.1740
2022-11-02,22.6540
2022-11-01,23.5043
2022-10-31,24.4490
2022-10-28,24.8107
2022-10-27,25.2126
2022-10-25,22.9343
2022-10-21,19.9831
2022-10-20,18.9726
2022-10-19,19.7015
2022-10-18,19.5731
2022-10-17,18.5668
2022-10-14,18.8940
2022-10-13,20.0851
2022-10-12,21.0067
2022-10-11,23.0112
2022-10-10,24.5637
2022-10-07,25.7062
2022-10-06,27.6367
2022-10-04,29.7817
2022-10-03,31.3892
2022-09-30,31.0258
2022-09-29,30.6220
2022-09-28,29.1661
2022-09-27,27.6252
2022-09-26,26.3367
2022-09-23,25.6853
2022-09-22,26.7022
2022-09-21,29.5061
2022-09-20,31.0382
2022-09-19,32.2506
2022-09-16,34.6843
2022-09-15,35.8081
2022-09-14,35.1478
2022-09-13,35.7364
2022-09-12,34.3908
2022-09-09,33.2211
2022-09-08,31.9214
2022-09-07,31.3627
2022-09-06,32.6499
2022-09-05,32.9722
2022-09-02,33.7166
2022-09-01,35.0646
2022-08-30,36.5624
2022-08-29,38.2266
2022-08-26,41.4753
2022-08-25,43.8744
2022-08-24,46.5401
2022-08-23,50.2317
2022-08-22,55.1911
2022-08-19,59.2026
2022-08-18,60.6864
2022-08-17,59.6028
2022-08-16,57.5428
2022-08-12,55.2900
2022-08-11,53.0366
2022-08-10,50.9399
2022-08-08,49.2244
2022-08-05,47.9469
2022-08-04,46.9633
2022-08-03,46.7296
2022-08-02,45.7016
2022-08-01,44.9968
2022-07-29,43.0295
2022-07-28,40.9699
2022-07-27,39.0830
2022-07-26,37.7879
2022-07-25,36.3979
2022-07-22,33.6828
2022-07-21,31.4707
2022-07-20,30.0997
2022-07-19,28.5764
2022-07-18,27.5167
2022-07-15,27.1017
2022-07-14,28.1837
2022-07-13,28.5599
2022-07-12,28.9780
2022-07-11,26.2406
2022-07-08,23.1991
2022-07-07,20.7159
2022-07-06,19.0889
2022-07-05,18.4577
2022-07-04,17.7563
2022-07-01,18.1560
2022-06-30,19.7846
2022-06-29,21.2158
2022-06-28,23.5536
2022-06-27,25.2989
2022-06-24,25.8433
2022-06-23,27.9481
2022-06-22,30.4642
2022-06-21,31.6377
2022-06-20,33.2777
2022-06-17,30.8527
2022-06-16,28.1583
2022-06-15,25.5767
2022-06-14,23.4549
2022-06-13,20.7442
2022-06-10,17.8782
2022-06-09,18.5751
2022-06-08,20.0876
2022-06-07,22.1145
2022-06-06,23.2499
2022-06-03,23.1506
2022-06-02,22.5867
2022-06-01,22.5841
2022-05-31,22.3636
2022-05-30,22.1186
2022-05-27,21.0562
2022-05-26,20.8785
2022-05-25,21.5478
2022-05-24,23.6608
2022-05-23,26.0794
2022-05-20,28.9303
2022-05-19,30.4775
2022-05-18,30.2380
2022-05-17,31.9840
2022-05-16,33.0769
2022-05-13,29.9999
2022-05-12,26.5810
2022-05-11,24.0573
2022-05-10,22.6144
